position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
58	3nAp4IvdMPPWEH9uuXFFV5	Underneath the Tree	Kelly Clarkson	433026	88	6	58	30
59	1fewSx2d5KIZ04wsooEBOz	Space Cadet (feat. Gunna)	Metro Boomin	433005	76	5	21	17
60	2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	Drake	432804	60	22	1	0
61	5Ber68jZ7ytegr2UISEdb7	Santa Claus Is Coming to Town	Michael Bublé	430713	72	9	61	11
62	58q2HKrzhC3ozto2nDdN4z	I Like It	Cardi B	430151	62	37	3	0
63	6DCZcSspjsKoFjzjrWoCdn	God's Plan	Drake	428072	56	22	20	-7
64	0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	421690	67	34	7	3
65	6JQvHMSaR8flFsN53ypOfP	Noticed	Lil Mosey	419813	79	9	27	14
66	7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	412553	65	27	4	-1
67	5JEx7HbmvHQQswJCsoo9rA	Close To Me (with Diplo) (feat. Swae Lee)	Ellie Goulding	409960	75	8	31	8
68	1Qi2wh8fFgDV7tl4Sj3f2K	Have Yourself A Merry Little Christmas	Sam Smith	408817	91	4	68	23
69	5Q2P43CJra0uRAogjHyJDK	Baby, It's Cold Outside	Brett Eldredge	404516	89	3	69	20
70	2pnPe4pJtq7689i5ydzvJJ	Run Rudolph Run - Single Version	Chuck Berry	401022	86	6	62	16
71	7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	Loud Luxury	400263	66	25	11	-5
72	1NJcg626wLln4pGHpiV7mf	lovely	Billie Eilish	398251	63	2	63	-9
73	4S8d14HvHb70ImctNgVzQQ	I Love It (& Lil Pump)	Kanye West	396701	73	15	1	0
74	6pVW5LRWgeLaHudxauOTJU	Jingle Bell Rock - Daryl's Version	Daryl Hall & John Oates	393951	96	4	74	22
75	3swc6WTsr7rl9DqQKQA55C	Psycho (feat. Ty Dolla $ign)	Post Malone	393874	71	34	2	-4
76	5ASM6Qjiav2xPe7gRkQMsQ	Sleigh Ride	The Ronettes	387993	nan	1	76	new
