position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	Drake	2038635	1	4	1	0
2	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	1685904	2	2	2	0
3	2E124GmJRnBJuXbTb4cPUB	FEFE (feat. Nicki Minaj & Murda Beatz)	6ix9ine	1374287	4	4	2	1
4	5WvAo7DNuPRmk4APhdPzi8	No Brainer	DJ Khaled	1276780	5	3	3	1
5	7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	1104812	6	9	4	1
6	7wBJfHzpfI3032CSD7CE2m	STARGAZING	Travis Scott	1095455	3	2	3	-3
7	0d2iYfpKoM0QCKvcLCkBao	Eastside (with Halsey & Khalid)	benny blanco	1080627	7	5	7	0
8	5IaHrVsrferBYDm0bDyABy	Taste (feat. Offset)	Tyga	1062670	9	13	2	1
9	58q2HKrzhC3ozto2nDdN4z	I Like It	Cardi B	1035158	8	19	3	-1
10	0s3nnoMeVWz3989MkNQiRf	Lucid Dreams	Juice WRLD	1024381	13	5	5	3
11	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	1023678	10	16	1	-1
12	4kWO6O1BUXcZmaxitpVUwp	Jackie Chan	Tiësto	954709	14	13	8	2
13	7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	Loud Luxury	942770	15	7	13	2
14	0TlLq3lA83rQOYtrqBqSct	Nonstop	Drake	849282	20	4	6	6
15	2iUXsYOEPhVqEBwsqP70rE	Youngblood	5 Seconds of Summer	793713	24	9	14	9
16	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	732720	27	22	1	11
17	7gkWXbAxIYuvtOpcN3p9GJ	God is a woman	Ariana Grande	707464	23	5	6	6
18	6kPJZM97LwdG9QIsT7khp6	Solo (feat. Demi Lovato)	Clean Bandit	678319	30	13	16	12
19	3CA9pLiwRIGtUBiMjbZmRw	Nice For What	Drake	640985	32	4	14	13
20	3u1S1OmAUhx5DRlLrXqyp3	Rise	Jonas Blue	634280	36	10	20	16
21	0E9ZjEAyAwOXZ7wJC0PD33	In My Mind	Dynoro	592235	43	4	21	22
22	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	591903	38	22	5	16
23	6DCZcSspjsKoFjzjrWoCdn	God's Plan	Drake	591439	37	4	20	14
24	7lAK3oHbfEnvUQWosrMMpR	YOSEMITE	Travis Scott	589036	12	2	12	-12
25	3nc420PXjTdBV5TN0gCFkS	Ocean (feat. Khalid)	Martin Garrix	579546	34	9	15	9
26	6G8kHiVZ1jW7vHMPVRNZU0	Don’t Matter To Me (with Michael Jackson)	Drake	552672	35	4	12	9
27	3swc6WTsr7rl9DqQKQA55C	Psycho (feat. Ty Dolla $ign)	Post Malone	549203	40	16	2	13
28	7ef4DlsgrMEH11cDZd32M6	One Kiss (with Dua Lipa)	Calvin Harris	548244	39	19	10	11
29	7ycWLEP1GsNjVvcjawXz3z	Praise The Lord (Da Shine) (feat. Skepta)	A$AP Rocky	536723	42	12	18	13
30	0kHyKhJMukHEPfeh8s7rdM	Born To Be Yours	Kygo	531228	41	9	27	11
