position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	0E9ZjEAyAwOXZ7wJC0PD33	In My Mind	Dynoro	3353024	1	13	1	0
2	641R77CBy4bOLGRcA9sgHy	500 PS	Bonez MC	3053021	2	6	2	0
3	2eNSyVH3sNPiAj9WpRYK73	Dior 2001	RIN	3014883	4	4	3	1
4	5d35jcJj7WjDQBOHCHPY6t	Melodien (feat. Juju)	Capital Bra	2962721	3	6	1	-1
5	0oZyouBDStcJEUbTmSfys2	Facetime	Dardan	2612692	6	4	5	1
6	0mjbIwkdLPK5g2nGzhacjU	Risiko	Bonez MC	2518496	5	2	5	-1
7	4ZkM6R7P3vGJ3O4ezCGnpy	BlaBla	Azzi Memo	2051762	nan	1	7	new
8	4S8d14HvHb70ImctNgVzQQ	I Love It (& Lil Pump)	Kanye West	1865874	nan	1	8	new
9	7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	Loud Luxury	1845546	7	6	7	-2
10	0jB0RNZIfaihaDKNmdrI40	Casanova	Summer Cem	1801893	8	7	3	-2
11	5N5k9nd479b1xpDZ4usjrg	Promises (with Sam Smith)	Calvin Harris	1762674	25	4	11	14
12	0d2iYfpKoM0QCKvcLCkBao	Eastside (with Halsey & Khalid)	benny blanco	1747657	12	9	12	0
13	214Mx6MSJhtaO1uPtZGqLH	Copacabana	Leon Machère	1731187	11	7	11	-2
14	60SdxE8apGAxMiRrpbmLY0	Lucky You (feat. Joyner Lucas)	Eminem	1715098	10	2	10	-4
15	3u1S1OmAUhx5DRlLrXqyp3	Rise	Jonas Blue	1686645	9	14	7	-6
16	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	1613431	27	4	16	11
17	0tp6mwUt99QnfY95T30Lqj	Blah Blah Blah	Armin van Buuren	1534585	19	10	17	2
18	7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	1516719	14	13	12	-4
19	0VNlBq4JKqvlIlveSwC4WJ	Mercedes	Eno	1514820	17	8	3	-2
20	4ofwffwvvnbSkrMSCKQDaC	Shotgun	George Ezra	1428774	21	9	20	1
21	7k6sTmc6wuOnvelPcOMyf1	Unterwegs	AK Ausserkontrolle	1425548	23	2	21	2
22	6kPJZM97LwdG9QIsT7khp6	Solo (feat. Demi Lovato)	Clean Bandit	1418575	15	17	2	-7
23	3yhaXZury9ZUpfXvdvuWiB	Vagabund	Bausa	1416327	13	3	9	-10
24	1MFSD0AkPk8Yq7TDEhrHcb	Bella ciao - HUGEL Remix	El Profesor	1370689	18	15	4	-6
25	5IaHrVsrferBYDm0bDyABy	Taste (feat. Offset)	Tyga	1338961	22	17	10	-3
26	3irKuchN2iCEcFQKPGOBNx	10419	Cro	1281695	nan	1	26	new
27	2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	Drake	1281682	20	8	2	-7
28	4rAN7PfOWxyR9MAeUd7wLy	Nike Pullover	Azet	1273718	24	6	14	-4
29	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	1204882	28	12	28	-1
30	3AXtDUSO78KrGa9Rq8rWUS	One Night Stand	Capital Bra	1168168	29	12	3	-1
31	77YLeSEI8unMbZVWNUqioQ	Only Thing We Know	Alle Farben	1123927	39	9	31	8
32	5WvAo7DNuPRmk4APhdPzi8	No Brainer	DJ Khaled	1116933	30	7	17	-2
33	2E124GmJRnBJuXbTb4cPUB	FEFE (feat. Nicki Minaj & Murda Beatz)	6ix9ine	1100472	31	8	15	-2
34	3DGar7krWlmrXRFHBcQF6z	Whenever (feat. Conor Maynard)	Kris Kross Amsterdam	1086098	57	5	34	23
35	7ecGSqT8Ulbzhs5QwgWGVN	Neymar	Capital Bra	1072038	43	12	5	8
36	63SevszngYpZOwf63o61K4	Nevermind	Dennis Lloyd	1045044	32	27	4	-4
37	1ZxBGZ7pxkh0VwFRp6biXk	Ballin	Luciano	1043832	44	9	7	7
38	2BgEsaKNfHUdlh97KmvFyo	2002	Anne-Marie	1042476	35	5	25	-3
39	5f6Bft94CPc7caZuqywckE	Testarossa	Miami Yacine	1041893	36	4	17	-3
40	3EPXxR3ImUwfayaurPi3cm	Be Alright	Dean Lewis	1028576	59	7	40	19
41	78CLZUWhsxIDwObCKOh1fh	Für Euch alle (feat. Samra & Capital Bra)	Bushido	1023141	42	10	1	1
42	2xw9PXlt8IaCWZjfpJ2HPL	Oh Child	Robin Schulz	1022057	37	10	28	-5
43	2jt2WxXMCD4zjACthkJQVE	The Ringer	Eminem	1020733	16	2	16	-27
44	58QhkbaAkLFnn7JwAnAato	Fall	Eminem	1017462	41	2	41	-3
45	5B7AL4ZcRVNsUzR8WUVxmT	Safe	Nico Santos	1004714	38	12	31	-7
46	4kWO6O1BUXcZmaxitpVUwp	Jackie Chan	Tiësto	1002678	40	17	20	-6
47	3MhCFPbAnGEboerYtltiPk	Eksi	Mert	999291	nan	1	47	new
48	194IS9NnPN3clG6v3BakTR	Habibo	Veysel	962061	46	11	6	-2
49	0w7Yk16SqMY7BioZktmcYm	GIGI (ZKITTLEZ)	Gringo	960827	26	6	4	-23
50	1iBOPEE6fIMsl7GMMcEyCF	Jennie (feat. R. City, Bori)	Felix Jaehn	897216	48	18	25	-2
51	0s3nnoMeVWz3989MkNQiRf	Lucid Dreams	Juice WRLD	854132	52	9	29	1
52	0kHyKhJMukHEPfeh8s7rdM	Born To Be Yours	Kygo	838747	49	13	27	-3
53	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	810030	53	20	6	0
54	68wn1NLEopjHZaXY3yVRL5	Hubba Bubba	Massiv	789701	33	2	33	-21
55	43aHoeHvYOBBvzZdopsA4e	Penthouse	Eno	788676	63	13	20	8
56	7ef4DlsgrMEH11cDZd32M6	One Kiss (with Dua Lipa)	Calvin Harris	782199	58	23	2	2
57	55GiOwtxNajXVbpjjIzMnD	SWISH	Tyga	777653	66	7	54	9
58	5xnKRr7fCLm0Gew1TBou7e	40K	Ufo361	775244	47	4	14	-11
59	1fyvQWmRbW81M0xXKI1Rrk	Toto (feat. RAF Camora)	Noizy	763430	56	13	16	-3
60	4zIO3ilp5HvTeK3HJHxhMP	Natural	Imagine Dragons	744401	99	8	60	39
61	58q2HKrzhC3ozto2nDdN4z	I Like It	Cardi B	736605	65	23	20	4
62	4kAIdBQEmb1M9ryd9tNSCD	Kennzeichen B-TK	Capital Bra	708724	75	12	4	13
63	3LMQL9CSxvUP2m8FeFszP6	Wann dann	Capital Bra	707572	72	12	13	9
64	1zOMSnF631rlPHlS4hH9rV	Sex Tape	Katja Krasavice	702779	55	5	15	-9
65	4keoy2fqgwGnbWlm3ZVZFa	Happy Now	Zedd	700884	70	8	58	5
66	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	694925	78	6	42	12
67	2lYTJK94hb0fd1LQtb6Dhk	Don't Leave Me Alone (feat. Anne-Marie)	David Guetta	689000	84	7	67	17
68	1zl1smQ584EZKCfLVeYWNq	Berlin lebt	Capital Bra	684403	68	12	1	0
69	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	681640	76	26	7	7
70	2eRq2jwsZtb0uGH4qUsvT1	Tamam Tamam	Summer Cem	680739	79	7	35	9
71	2XTquzYQAdT1Hk78bOUwsv	Greatest	Eminem	676544	34	2	34	-37
72	5OCJzvD7sykQEKHH7qAC3C	God is a woman	Ariana Grande	667937	64	4	45	-8
73	04ZTP5KsCypmtCmQg5tH9R	I'm a Mess	Bebe Rexha	664709	81	10	70	8
74	4kOlyvj9WiPrI4zpmzKAeA	Change Your Mind	ELI	661378	69	22	13	-5
75	4OafepJy2teCjYJbvFE60J	breathin	Ariana Grande	659653	73	4	43	-2
76	5a8RPWgKSmcGBGcffmIrUi	Thunderclouds	Sia	657102	117	5	76	41
77	28FGV3ORH14MYORd7s5dlU	Not Alike (feat. Royce Da 5'9)	Eminem	652853	51	2	51	-26
78	0CbmM8sKLUr2BV3xULRn6R	Chardonnay & Purple Haze	Marteria	630343	45	2	45	-33
79	4VUwkH455At9kENOfzTqmF	Beautiful (feat. Camila Cabello)	Bazzi	629171	93	5	74	14
80	2kx7rcukcL50UysnBiWJxf	Paradies	Ufo361	608258	85	4	46	5
81	7ATATJztoWLcqDAcVVof0C	BEBE	6ix9ine	607656	83	2	81	2
82	5psDugCQ2V8uayDeSuTvdD	"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)"	LEA	591392	135	4	82	53
83	2hIY4sjfMeKwXXh2LvhrMo	Was du Liebe nennst	Bausa	588040	92	31	1	9
84	2PogneD4c7isUlvNo2k2XM	Supernova	Marteria	584780	50	2	50	-34
85	5Xn4IyTtW6FUGIUyWjbUHG	Goodbye (feat. Nicki Minaj & Willy William)	Jason Derulo	578396	122	3	85	37
86	5N4erncE7kuUccm7zEmwzk	Electricity (with Dua Lipa)	Silk City	575870	nan	1	86	new
87	2gsNpSn7VvvJuSrIDfRoYy	Kamikaze	Eminem	572930	54	2	54	-33
88	6rROVX0t2Q5tDOVVbcHq6S	Zu dir	LEA	572308	100	13	88	12
89	1ZQhnmtZ2tq1t3TzguTciR	Santorini (feat. Veysel)	Summer Cem	571068	89	7	19	0
90	14kafeLy8vQRvGhA9nQnC8	Sonnenbrille	Loredana	569117	90	13	4	0
91	2iUXsYOEPhVqEBwsqP70rE	Youngblood	5 Seconds of Summer	527971	86	13	31	-5
92	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	515660	102	19	23	10
93	1imtCbjVIxYIkurjkye7Dg	Fame (feat. RAF Camora)	Kontra K	509826	98	6	52	5
94	7ycWLEP1GsNjVvcjawXz3z	Praise The Lord (Da Shine) (feat. Skepta)	A$AP Rocky	499654	106	16	50	12
95	0LH2h4pwiX1iY3KDuONOb6	Je ne parle pas français - Beatgees Remix	Namika	499189	88	22	11	-7
96	72gemWtPeCOrRnX4PhjNNk	5 Songs in einer Nacht	Capital Bra	486349	105	12	19	9
97	05Mp2UJulSttxQ4E6hQPH3	Ohne mein Team	Bonez MC	485447	120	89	11	23
98	0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	483416	112	20	20	14
99	4gnuy9VBU2GGrN60UMB79t	Magisch	Olexesh	482732	115	28	1	16
100	60Z57Wdrn0pEVpHI7d7GAX	Stepping Stone	Eminem	472196	60	2	60	-40
101	2qT1uLXPVPzGgFOx4jtEuo	no tears left to cry	Ariana Grande	465211	114	4	66	13
102	4I4E7QZ0ZiNt0pWBk7XyiI	offenes verdeck	KALIM	463494	97	2	97	-5
103	08bNPGLD8AhKpnnERrAc6G	FRIENDS	Marshmello	460450	118	31	2	15
104	3nc420PXjTdBV5TN0gCFkS	Ocean (feat. Khalid)	Martin Garrix	458009	113	13	39	9
105	4hQ6UGyWQIGJmHSo0J88JW	Back To You - From 13 Reasons Why – Season 2 Soundtrack	Selena Gomez	457976	107	10	42	2
106	0evt4UZbdhnHtcAnxkm6A1	Normal	Eminem	443224	61	2	61	-45
107	1htDr3ACVmEcCCpiCDs1hh	Medusablick	Jigzaw	442769	67	2	67	-40
108	7wBJfHzpfI3032CSD7CE2m	STARGAZING	Travis Scott	442622	116	6	21	8
109	2SL6oP2YAEQbqsrkOzRGO4	Venom - Music From The Motion Picture	Eminem	442355	82	2	82	-27
110	6DCZcSspjsKoFjzjrWoCdn	God's Plan	Drake	441618	124	8	63	14
111	4ut5G4rgB1ClpMTMfjoIuy	High On Life (feat. Bonn)	Martin Garrix	437424	127	6	104	16
112	7y5chiQbuvviOYUfUmOPqo	Primo	RAF Camora	436678	132	55	3	20
113	5FnVTit5CWHIou1GHWVGoO	Fuego	Veysel	435055	74	4	37	-39
114	7AwPgamlOy97TfTIXDvb4S	Knöcheltief	Trettmann	434527	131	14	97	17
115	6ejutdxQVGPCNpFys7TLAn	I Like It (feat. Kontra K and AK Ausserkontrolle)	Cardi B	426361	108	4	70	-7
