position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	4gnuy9VBU2GGrN60UMB79t	Magisch	Olexesh	2456183	nan	1	1	new
2	2XW4DbS6NddZxRPm5rMCeY	God's Plan	Drake	2378100	1	7	1	-1
3	08bNPGLD8AhKpnnERrAc6G	FRIENDS	Marshmello	2244542	3	4	3	0
4	5CLGzJsGqhCEECcpnFQA8x	These Days (feat. Jess Glynne, Macklemore & Dan Caplen)	Rudimental	1844631	6	7	4	2
5	2IKZkwHI5zsZf70STuhvOX	Sick Boy	The Chainsmokers	1836069	4	3	2	-1
6	65NwOZqoXny4JxqAPlfxRF	Psycho (feat. Ty Dolla $ign)	Post Malone	1796114	5	2	5	-1
7	2hIY4sjfMeKwXXh2LvhrMo	Was du Liebe nennst	Bausa	1657730	7	4	1	0
8	5UEnHoDYpsxlfzWLZIc7LD	River (feat. Ed Sheeran)	Eminem	1581102	8	12	2	0
9	76cy1WJvNGJTj78UqeA5zr	IDGAF	Dua Lipa	1533695	11	8	9	2
10	5hM6sP0Gh1jD57drszNueC	For You (Fifty Shades Freed) (& Rita Ora)	Liam Payne	1394687	12	9	10	2
11	6lOWoTqVnAWXchddtTH31W	Leave a Light On	Tom Walker	1340711	17	11	11	6
12	09UCANfkj2U3UfSiITG6ZG	Ayé	Zuna	1312174	nan	1	12	new
13	637yH6Qs3wXdgjPjO7QGdr	Rooftop	Nico Santos	1307337	15	21	6	2
14	2U7Hu2RaNQNRi7izoJyZaX	rockstar	Post Malone	1266682	14	3	9	0
15	5XiioS0yEtKXUdXcCucgfQ	Zwischen Himmel & Hölle	Kontra K	1249872	nan	1	15	new
16	5k38wzpLb15YgncyWdTZE4	Him & I (with Halsey)	G-Eazy	1222004	16	12	3	0
17	2ARqIya5NAuvFVHSN3bL0m	The Middle	Zedd	1221451	26	2	17	9
18	3GCdLUSnKSMJhs4Tj6CV3s	All The Stars (with SZA)	Kendrick Lamar	1211169	18	2	18	0
19	1ZtEZjYb4e0V0gqwRYeeAY	Crazy	Lost Frequencies	1207746	20	10	16	1
20	2z4pcBLQXF2BXKFvd0BuB6	Tip Toe (feat. French Montana)	Jason Derulo	1175832	19	17	8	-1
21	6tvQzeCPwOytDlBYCIOY0n	Breathe	Jax Jones	1155493	27	10	21	6
22	6tHWl8ows5JOZq9Yfaqn3M	Mine	Bazzi	1154585	21	5	21	-1
23	0OlnLZY4cmQzT6ZGttvWBM	So Far Away (feat. Jamie Scott & Romy Dya)	Martin Garrix	1094838	22	14	10	-1
24	1LhMopPAallLeaeNutqbgS	Say Something	Justin Timberlake	1089332	30	5	24	6
25	0FJeo3KAJ5on89PXmo3FiG	Beverly Hills	Ufo361	1084506	13	5	1	-12
26	5muvgRZXDU9DBmKcOolqkw	Corleone	RAF Camora	1077188	9	3	9	-17
27	1rfofaqEpACxVEHIZBJe6W	Havana (feat. Young Thug)	Camila Cabello	1066199	25	8	3	-2
28	6mrKP2jyIQmM0rw6fQryjr	Let You Down	NF	1061350	24	21	4	-4
29	6X0pg9AHaLYLq8Cy5j8Suz	Qa bone	Azet	1053572	23	11	6	-6
30	45Egmo7icyopuzJN0oMEdk	Love Lies (with Normani)	Khalid	1049905	33	3	30	3
31	4k5ripwnTRXiOzXUEGhXSz	Leiser	LEA	1049321	29	13	13	-2
32	66bsUCJWoy09bpuljIXumf	Ti amo	Veysel	1044434	31	7	31	-1
33	4ofvoCdXq99vpMZO4Cfp8x	Pray For Me (with Kendrick Lamar)	The Weeknd	1013255	28	5	19	-5
34	1zsG4eaZmkA1dvjDDsAGLK	Échame La Culpa	Luis Fonsi	1005076	32	16	17	-2
35	3H8n2CHfv2tV1UYsIO0OwG	Balenciaga	Ufo361	980793	10	2	10	-25
36	3towKHKVOXCCcL1fHv6xFO	Capital Letters	Hailee Steinfeld	960234	35	5	35	-1
37	7EmGUiUaOSGDnUUQUDrOXC	Wolves	Selena Gomez	897669	37	19	8	0
38	4qKcDkK6siZ7Jp1Jb4m0aL	Look Alive (feat. Drake)	BlocBoy JB	890429	53	4	38	15
39	0kl0GEa8WfkY65OBzlqHDL	Frisch aus dem Block	Olexesh	881204	nan	1	39	new
40	7hvxMYq9JW5W0vFwiu1Zdr	Dreamer	Axwell /\ Ingrosso	877643	39	5	34	-1
41	0OI7AFifLSoGzpb8bdBLLV	Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)	Machine Gun Kelly	862826	36	16	19	-5
42	53SnCRcGrB2UCqNGyYZhJD	More Than Friends	James Hype	854581	40	20	24	-2
43	7amMgNDcObIDkIXv4xcvc2	Barking	Ramz	852281	84	4	43	41
44	7y5chiQbuvviOYUfUmOPqo	Primo	RAF Camora	825661	41	28	3	-3
