position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	51922FOX7bXrEU4jSoxkY5	5 Songs in einer Nacht	Capital Bra	2788496	1	2	1	0
2	4gnuy9VBU2GGrN60UMB79t	Magisch	Olexesh	2650645	2	7	1	0
3	7amMgNDcObIDkIXv4xcvc2	Barking	Ramz	2506364	4	10	3	1
4	08bNPGLD8AhKpnnERrAc6G	FRIENDS	Marshmello	2364380	3	10	2	-1
5	63SevszngYpZOwf63o61K4	Nevermind	Dennis Lloyd	2084034	8	6	5	3
6	2XW4DbS6NddZxRPm5rMCeY	God's Plan	Drake	1992870	5	13	1	-1
7	1cTZMwcBJT0Ka3UJPXOeeN	Nice For What	Drake	1926014	25	2	7	18
8	5CLGzJsGqhCEECcpnFQA8x	These Days (feat. Jess Glynne, Macklemore & Dan Caplen)	Rudimental	1769224	7	13	4	-1
9	7ef4DlsgrMEH11cDZd32M6	One Kiss (with Dua Lipa)	Calvin Harris	1740899	45	2	9	36
10	7kYC5ilFc6kXN6YagFRemB	Eloah	Sun Diego	1653074	6	2	6	-4
11	39N9RPD9MRb5WmoLzNzPeA	X	Nicky Jam	1584981	10	7	10	-1
12	10Igtw8bSDyyFs7KIsKngZ	Freaky Friday (feat. Chris Brown)	Lil Dicky	1578412	16	5	12	4
13	2uGMZKZoeLFBVQUZRAK39D	Ohne Mich	Ufo361	1569797	nan	1	13	new
14	3soOPBuMK8YMdWnV7xpEyf	Mad Love	Sean Paul	1518254	9	9	9	-5
15	65NwOZqoXny4JxqAPlfxRF	Psycho (feat. Ty Dolla $ign)	Post Malone	1469168	11	8	5	-4
16	76cy1WJvNGJTj78UqeA5zr	IDGAF	Dua Lipa	1457991	12	14	7	-4
17	01q4ydDZhk4xdVb0M7uvgu	Immer wieder (feat. MoTrip)	Rooz	1368775	19	6	15	2
18	6RnkFd8Fqqgk1Uni8RgqCQ	Like I Do	David Guetta	1363322	17	8	12	-1
19	2ARqIya5NAuvFVHSN3bL0m	The Middle	Zedd	1362032	18	8	9	-1
20	0M6hFbc4iDPLh66BAVtP4N	Drück Drück (feat. LX)	Gzuz	1357999	14	3	13	-6
21	2JfXj2TERIkHwJpnG9f8uX	Sick Boy	The Chainsmokers	1342832	13	5	5	-8
22	7g469UXMGKeEBuxSXVbthJ	Roli	Luciano	1340937	nan	1	22	new
23	6xTU6B6nFwKKTSZ9ySXS80	Remind Me to Forget	Kygo	1284690	28	5	23	5
24	2hIY4sjfMeKwXXh2LvhrMo	Was du Liebe nennst	Bausa	1213300	20	10	1	-4
25	0JhqpnlZSdsGFuIYCkiYCA	Rohdiamant	Samra	1190579	nan	1	25	new
26	1cDlVA17fnLm50ssTlS1ZQ	Kriminell	Azet	1184802	15	3	6	-11
27	638rZDq4P6MpTF3iQe8EDI	Power	Ufo361	1175260	nan	1	27	new
28	6lOWoTqVnAWXchddtTH31W	Leave a Light On	Tom Walker	1170981	21	17	11	-7
29	1LhMopPAallLeaeNutqbgS	Say Something	Justin Timberlake	1166387	23	11	18	-6
30	42vM3qSh6CIaZLSlzFTZ7f	Beverly Hills	Ufo361	1159251	nan	1	30	new
31	1gm616Plq4ScqNi7TVkZ5N	Call Out My Name	The Weeknd	1153206	22	3	11	-9
32	2dNJAeT897gmlIIzLBOanb	All Eyez on Us	Kollegah	1148868	nan	1	32	new
33	45Egmo7icyopuzJN0oMEdk	Love Lies (with Normani)	Khalid	1144280	24	9	22	-9
34	1zR7haA66Wbx0ZvSnVAvm2	Kontostand	Ufo361	1113744	nan	1	34	new
35	6tvQzeCPwOytDlBYCIOY0n	Breathe	Jax Jones	1075538	27	16	12	-8
36	5wH9FqlypGQJnKx1iy3huA	Erober die Welt	Ufo361	1047361	nan	1	36	new
37	29ZRygQGgKGNKfcYwlV3Uh	Balenciaga	Ufo361	1036416	nan	1	37	new
38	3vwVxnq3vQ6NxGVxaiuteR	Cool (feat. Marc E. Bassy, Gucci Mane)	Felix Jaehn	1034739	34	8	34	-4
39	7D4yJ6TCMTqA1PrIGbFp9I	Oder nicht	Kontra K	1032276	nan	1	39	new
40	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	1009377	26	5	20	-14
41	5ODK0R10oNrzGrZxRzwHvR	Überlebt	Azet	991987	29	3	25	-12
42	2U7Hu2RaNQNRi7izoJyZaX	rockstar	Post Malone	989042	33	9	9	-9
43	3rvEwBi1mFFHqCnkrGmnWp	Unforgettable	Robin Schulz	984824	38	8	38	-5
44	6wLwtK3mkAq0zWPpV6QVbF	Stay High 2.0	Ufo361	976982	nan	1	44	new
45	79jX8RM5CgPqDKdGEKNW9K	In My Blood	Shawn Mendes	954257	37	4	18	-8
46	5mqjWAb4xWdoIr6IZdHpqS	Qa bone	Azet	942539	30	3	23	-16
47	5vkCwVRkg43T7r7Al2nvYh	Alpträume	Ufo361	937614	nan	1	47	new
48	1rfofaqEpACxVEHIZBJe6W	Havana (feat. Young Thug)	Camila Cabello	910150	36	14	3	-12
49	5UEnHoDYpsxlfzWLZIc7LD	River (feat. Ed Sheeran)	Eminem	899501	31	18	2	-18
50	2z4pcBLQXF2BXKFvd0BuB6	Tip Toe (feat. French Montana)	Jason Derulo	891035	39	23	8	-11
51	58q2HKrzhC3ozto2nDdN4z	I Like It	Cardi B	859073	168	2	51	117
52	2hqy4QmpvMeVz6zeolDeLQ	Crazy	Lost Frequencies	845842	40	2	40	-12
53	7uzmGiiJyRfuViKKK3lVmR	Mine	Bazzi	840841	nan	1	53	new
54	33IOhptvC2Qoy2UhjiHXLV	Flames	David Guetta	825936	68	4	54	14
55	4EAV2cKiqKP5UPZmY6dejk	Everyday	Logic	825859	44	6	32	-11
56	4RNVu6nVWfHD8eeCcfmQ9t	Odio	Ufo361	818723	nan	1	56	new
57	2LwTLppGvaQUiTs28Yq4H3	Is It Love?	Rea Garvey	815349	56	4	56	-1
58	4c3MGOBl71NguTFUxfpJR0	Dream	Ufo361	806971	nan	1	58	new
59	66bsUCJWoy09bpuljIXumf	Ti amo	Veysel	795849	42	13	31	-17
60	4qKcDkK6siZ7Jp1Jb4m0aL	Look Alive (feat. Drake)	BlocBoy JB	791605	48	10	36	-12
61	1zsG4eaZmkA1dvjDDsAGLK	Échame La Culpa	Luis Fonsi	785885	51	22	17	-10
62	4k5ripwnTRXiOzXUEGhXSz	Leiser	LEA	780429	43	19	13	-19
63	4y5SIf8HXuNjiKW3o1sZtt	Gewinn	Ufo361	776864	nan	1	63	new
64	1O2asuUj7Rpl52pXWwK2qK	Superstar	Ufo361	775724	nan	1	64	new
65	637yH6Qs3wXdgjPjO7QGdr	Rooftop	Nico Santos	747146	41	27	6	-24
66	7y5chiQbuvviOYUfUmOPqo	Primo	RAF Camora	745690	49	34	3	-17
67	2j2fIJGh4PMdXt9ULI5Tlc	Dura	Daddy Yankee	744377	55	10	52	-12
68	7iDa6hUg2VgEL1o1HjmfBn	Meant to Be (feat. Florida Georgia Line)	Bebe Rexha	737351	46	25	41	-22
69	38zwkK6TtTjIW9tpYBfZ3D	Paradise	George Ezra	733389	59	4	59	-10
70	0OlnLZY4cmQzT6ZGttvWBM	So Far Away (feat. Jamie Scott & Romy Dya)	Martin Garrix	707797	47	20	10	-23
71	7hvxMYq9JW5W0vFwiu1Zdr	Dreamer	Axwell /\ Ingrosso	701827	50	11	34	-21
72	6n4U3TlzUGhdSFbUUhTvLP	Walk It Talk It	Migos	674776	66	5	66	-6
73	1tvLm3VWxauQ1q8po39Io9	An Wunder	Wincent Weiss	673830	nan	1	73	new
