position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	2711046	1	11	1	0
2	0u8aj0c4IxeVSLTUuuq9V5	Você Partiu Meu Coração	Nego do Borel	2180943	2	10	1	0
3	1a5Yu5L18qNxVhXx38njON	Hear Me Now	Alok	1785801	3	12	1	0
4	257tme6AhneIKAqVF1HTH4	Loka	Simone & Simaria	1694484	4	11	4	0
5	4FHw39Ke6pVt5tNKvLr4r3	Vidinha de Balada - Ao Vivo	Henrique & Juliano	1550773	5	7	5	0
6	6m2LNopVJKsvBB9l7Z1rwn	Olha a Explosão	MC Kevinho	1504924	6	12	3	0
7	2d3TbSkAscvT3QRQalq6uT	Te Assumi Pro Brasil - Ao Vivo	Matheus & Kauan	1488152	7	12	6	0
8	40bK2uosUmAS92c17n98xd	Acordando o Prédio	Luan Santana	1321329	8	7	8	0
9	5SnQDj5REQVvAdSlhqkEcE	Malbec (Part. Dennis Dj) - Ao Vivo	Henrique & Diego	1132559	9	12	9	0
10	6RUKPb4LETWmmr3iAEQktW	Something Just Like This	The Chainsmokers	1105382	10	4	10	0
11	6vve9WKW5I7fQzkU8dNsUE	E Essa Boca Aí? - Ao Vivo	Bruninho & Davi	1034982	12	12	10	1
12	0EPxmvsG1BY5td4aTOkWBF	Deu Onda	MC G15	999655	11	12	1	-1
13	3eR23VReFzcdmS7TYCrhCe	It Ain't Me (with Selena Gomez)	Kygo	983043	16	5	11	3
14	3NdDpSvN911VPGivFlV5d0	"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""	ZAYN	982854	13	12	10	-1
15	45wqPwIH4A5cr2IyyD4WKf	Eu Sei de Cor - Ao Vivo | Acústico	Marília Mendonça	968686	15	12	4	0
16	2GfxgssRHvY1azHtaRqKoK	Paredes - Ao Vivo	Jorge & Mateus	964626	19	12	16	3
17	1e315r3zQjsng2z952ePQ1	Ninguém É de Ferro	Wesley Safadão	963583	22	6	17	5
18	6520aj0B4FSKGVuKNsOCOi	Chained To The Rhythm	Katy Perry	936278	14	6	4	-4
19	5aAx2yezTd8zXrkmtKl66Z	Starboy	The Weeknd	924082	18	12	6	-1
20	6zCqeUUqLb2CapBmVwAHll	Meu Coração Deu PT - Ao Vivo	Wesley Safadão	892110	17	12	7	-3
21	61GiOLLEn0LcavpVu1my6Q	Fuego	Alok	889078	34	3	21	13
22	2wFnRPjuqwNySFiK0Qfg8L	10% - Ao Vivo	Maiara & Maraisa	886544	25	12	6	3
23	0jIitZeIQRTaZgFQf2WpGK	Decide Aí - Na Praia / Ao Vivo	Matheus & Kauan	885905	20	12	13	-3
24	4YhPcVIxIAJrLhFVPGbJkE	De Quem É a Culpa? - Ao Vivo	Marília Mendonça	883082	24	10	24	0
25	7BKLCZ1jbUBVqRi2FVlTVw	Closer	The Chainsmokers	851670	26	12	3	1
26	2CW04trIoYMbroZWDzPAjs	Medo Bobo - Ao Vivo	Maiara & Maraisa	849040	21	12	5	-5
27	4eZg3l8x5aMvgwsRHcZuIC	Qual Bumbum Mais Bate, Qual Bumbum Mais Pula	MC WM	845028	119	2	27	92
28	2Gvn46nwyQhUnQiFhlP7WX	Como Faz Com Ela - Ao Vivo	Marília Mendonça	838690	27	12	22	-1
29	2PS6YQ9jMpm0uCg4sQ1ygm	Oh Novinha	Mc Don Juan	837307	47	9	29	18
30	72jbDTw1piOOj770jWNeaG	Paris	The Chainsmokers	818472	23	10	17	-7
31	4sFVdIwmVj2y87qqOWwSU3	Se o Amor Tiver Lugar	Jorge & Mateus	804244	33	8	31	2
32	6mICuAdrwEjh6Y6lroV2Kg	Chantaje (feat. Maluma)	Shakira	787922	30	12	13	-2
33	5NNlUMcOEOdoOIwwaWXv0k	Cold	Maroon 5	782444	31	5	31	-2
34	4FxumkF81ICxITeqxx4nK9	Sim ou não (participação especial Maluma)	Anitta	759096	29	12	10	-5
35	56gpstNB96id9ngmImIkaH	Quem Mando Tu Terminar? (To Bonito To Né?)	MC Kekel	756483	51	6	35	16
36	4aAq1afusFG6jRiOSHQZvN	Tumbalatum	MC Kevinho	756399	32	12	16	-4
37	12wiyBZqQ3mOU7AfygXJCw	Homem de Família - Ao Vivo	Gusttavo Lima	748834	36	12	28	-1
38	0CcQNd8CINkwQfe1RDtGV6	Believer	Imagine Dragons	744897	41	7	38	3
39	0gbBzIqrECJOEPvQJIBFs5	Green Light	Lorde	742553	28	3	10	-11
40	2KGv51jgAz8OTjNPyRryfq	Pra Sempre Com Você - Ao Vivo	Jorge & Mateus	740366	38	12	38	-2
41	4pdPtRcBmOSQDlJ3Fk945m	Let Me Love You	DJ Snake	739442	37	12	11	-4
42	0afhq8XCExXpqazXczTSve	Galway Girl	Ed Sheeran	702652	35	3	25	-7
43	1LTxGBL6yKtfmW3K8EvbSY	Partiu	MC Kekel	688950	45	12	29	2
44	41mt7YrfLrIc4EQJZFCJtw	Como É Que a Gente Fica - Ao Vivo	Henrique & Juliano	684542	43	12	25	-1
45	6bgQIw80xWC3MPZX4kVYGw	Trevo (Tu)	ANAVITÓRIA	676230	52	8	45	7
46	6SwI4OplF8m5NH8wHKIps8	O Nosso Santo Bateu - Na Praia / Ao Vivo	Matheus & Kauan	670767	42	12	23	-4
47	5knuzwU65gJK7IF5yJsuaW	Rockabye (feat. Sean Paul & Anne-Marie)	Clean Bandit	669393	44	12	25	-3
48	3ebXMykcMXOcLeJ9xZ17XH	Scared to Be Lonely	Martin Garrix	657588	40	8	40	-8
49	4pLwZjInHj3SimIyN9SnOz	Side To Side	Ariana Grande	654363	48	12	20	-1
50	4jswhbcaGqFe8v5uSHlqyb	O Verão Está Chegando	Mc Davi	601174	49	12	28	-1
51	0Zu7NVn4IvfYuEIrD11UVr	Na Hora da Raiva - Ao Vivo	Henrique & Juliano	585748	53	12	35	2
52	4aWmUDTfIPGksMNLV2rQP2	Despacito (Featuring Daddy Yankee)	Luis Fonsi	582870	56	8	38	4
53	0dA2Mk56wEzDgegdC6R17g	Stay (with Alessia Cara)	Zedd	580298	82	4	53	29
54	2lLOaRPi8yQxQ8BlFZBLOl	Papel Amassado - Ao Vivo	Matheus & Kauan	575385	55	4	54	1
55	6PCUP3dWmTjcTtXY02oFdT	Castle on the Hill	Ed Sheeran	571498	39	11	15	-16
56	0KKkJNfGyhkQ5aFogxQAPU	That's What I Like	Bruno Mars	556704	69	5	56	13
57	38MpAndIjGAyVdcC6npX95	Infiel - Ao Vivo	Marília Mendonça	555859	50	12	14	-7
58	3dRBzTOu9polrH9U6Vh2zw	Ou Some Ou Soma - Ao Vivo	Jorge & Mateus	534645	62	12	31	4
59	5bm2GTEiU87Z95jX03y2Qk	Do Teto Ao Chão - Ao Vivo	Matheus & Kauan	532596	59	5	59	0
60	3iDY4SzUHPkC3WTXpfxXJG	Todo Dia	Pabllo Vittar	532435	46	9	41	-14
61	5GXAXm5YOmYT0kL5jHvYBt	I Feel It Coming	The Weeknd	526311	57	12	46	-4
62	5MFzQMkrl1FOOng9tq6R9r	Don't Wanna Know	Maroon 5	525144	58	12	16	-4
63	4BQMlG5VKApk9AdIsjxDqx	A Nossa Praia - Ao Vivo	Matheus & Kauan	521707	64	6	63	1
64	000xYdQfIZ4pDmBGzQalKU	Eu, Você, O Mar e Ela	Luan Santana	515694	63	12	15	-1
65	0GR7ZABhVF9GbxghIx2RRv	Nada Nada - Ao Vivo	Henrique & Juliano	508496	74	12	44	9
66	3LFG5DqNQRK0yL6WNMw99P	Ciumento Eu - Ao Vivo	Henrique & Diego	499836	72	10	66	6
67	6TmmyW0fR8mo3ACj07lGmO	Oh Meu Deus	Projota	493369	71	8	67	4
68	6UZJOc2HBrTp9DYfir9N8n	Regime Fechado - Ao Vivo	Simone & Simaria	490757	61	12	54	-7
69	4TZy1wLyHec06pwgFYDh1a	Mercy	Shawn Mendes	488547	84	12	39	15
70	3eGK0WFi6ISJ9UZA6Za4HX	Singular	ANAVITÓRIA	486706	75	12	52	5
71	2InJDvDcA4RXEeA9njdibl	Louca de Saudade - Ao Vivo	Jorge & Mateus	484482	68	12	36	-3
72	6DNtNfH8hXkqOX1sjqmI7p	Cold Water (feat. Justin Bieber & MØ)	Major Lazer	483872	80	12	12	8
73	1vvNmPOiUuyCbgWmtc6yfm	My Way	Calvin Harris	480281	70	12	23	-3
74	1Bq86AS6wf5a5cEB8CM6dZ	Exclusividade - Ao Vivo	Matheus & Kauan	479012	65	3	65	-9
75	4lbPwb1Beo7JU2VwuJRTeR	Suíte 14 - Ao Vivo	Henrique & Diego	478900	88	12	62	13
76	6BPt2sVRvE41rUixcCAHY6	A Mala É Falsa - Ao Vivo	Felipe Araújo	478876	77	12	67	1
77	4SjkLzyFBVXaxuB6SbJyJN	Eu Sei de Cor - Ao Vivo	Marília Mendonça	478540	158	4	77	81
78	1xznGGDReH1oQq0xzbwXa3	One Dance	Drake	478399	90	12	17	12
79	0phVJ23NJlruwtt1XCm94N	Flor e o Beija-Flor - Ao Vivo	Henrique & Juliano	476498	79	12	46	0
80	3mTUqLbtWm2DAEwvQTyu4d	Ela Só Quer Paz	Projota	473438	76	12	37	-4
81	2DAGCHu5aoo2FOjmtU9ojo	50 Reais	Naiara Azevedo	470357	67	12	16	-14
