position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	1IJH7QjV5V99eJBtKXqGXE	Largado Às Traças - Ao Vivo	Zé Neto & Cristiano	3089228	1	17	1	0
2	2H1liABu20HXBOmbt5SQz1	Ciumeira - Ao Vivo	Marília Mendonça	2935136	4	3	2	2
3	4xc6RrWzEOdprPqYn9Cyen	Só Você	Dennis DJ	2872287	2	7	2	-1
4	2Ab1wPTEqulaCGoBak1gUo	Ao Vivo E A Cores	Matheus & Kauan	2826679	3	18	1	-1
5	5U28PY9MekLyCBYtLHGQpe	Meu Abrigo	Melim	2558911	5	14	3	0
6	74n5d5M21JnC4WJ6gdkggK	Propaganda - Ao Vivo	Jorge & Mateus	2407211	6	29	2	0
7	4R5xvs5X0phd0EYWyGigju	Medicina	Anitta	2284983	7	8	1	0
8	2odzriVVZBwYOiYJEj30tm	Pouca Pausa	Clau	2223295	9	13	8	1
9	7ppLcVgxpoWAhAa2c0CN3b	Quero Que Tu Vá	Ananda	2170788	8	7	6	-1
10	0RBOFW5424gCCCZrgECbt6	Romance Com Safadeza	Wesley Safadão	2060116	10	22	4	0
11	2JVbZEpewmqNlSzmXJTx2E	Favela	Alok	1948870	11	4	11	0
12	6tuzPD1zPPvwMbGiD0TBay	Fuleragem	MC WM	1840689	13	28	4	1
13	5Vw6ZLNB6Ko7VZM6vmNIbr	O Alvo - Ao Vivo	Diego & Victor Hugo	1816086	12	34	12	-1
14	6yxYagNp6Gapd7jXmWzgVc	A Culpa É Dele - Ao Vivo | Acústico	Marília Mendonça	1810273	14	22	8	0
15	1fyhyOy6iS9E2NckAzjmTo	Status Que Eu Não Queria - Ao Vivo	Zé Neto & Cristiano	1804524	17	17	6	2
16	2qkNnJvQvhLiZ63X1L3eFz	Notificação Preferida - Ao Vivo	Zé Neto & Cristiano	1763472	19	13	16	3
17	76KDy62J99FKu6ZsxMJy3j	Amor de Verdade	MC Kekel	1706771	15	24	1	-2
18	4iGwWeV7XVIWO9Yy5QExOr	Zé da Recaída	Gusttavo Lima	1672994	64	5	18	46
19	3MxbRHE1u74SoMNR9iURIZ	Jogo do Amor	MC Bruninho	1655940	16	18	3	-3
20	4kiauw5SBqEsu5GuGD09aM	Novinha Você É uma Flor	MCs Thin e Alexandre	1608172	20	11	20	0
21	4cnNrOojGyU6J3OXqVTPIg	Pra Inveja É Tchau	Mc Kevin	1591752	24	11	21	3
22	00zzSEe82JTtz68XlARnh7	Amor Falso	Aldair Playboy	1563006	21	22	1	-1
23	4JPSfCXQe6kDliMIJTqISW	Coladinha em Mim - Ao Vivo	Gustavo Mioto	1526238	22	38	8	-1
24	3UxbT06Mz8aTJbHYYIxwkI	Mundo de Ilusões - Ao Vivo	Gusttavo Lima	1497145	23	18	19	-1
25	3HEb6Y5dv8PgD6JgsIQNac	Bebida Na Ferida - Ao Vivo	Zé Neto & Cristiano	1487865	28	17	25	3
