position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	6etab3UBCo5GOTMZqUvRka	Ta Tum Tum	MC Kevinho	3061747	1	4	1	0
2	6u0EAxf1OJTLS7CvInuNd7	Vai malandra (feat. Tropkillaz & DJ Yuri Martins)	Anitta	2875731	2	12	1	0
3	74n5d5M21JnC4WJ6gdkggK	Propaganda - Ao Vivo	Jorge & Mateus	2456864	3	2	3	0
4	6wXYGqXCLtEHx4VDb2TPcM	Apelido Carinhoso	Gusttavo Lima	2434089	4	14	2	0
5	6ys0kXJnE7wBQKvGrTg0VQ	Tô Com Moral No Céu! - Ao Vivo	Matheus & Kauan	2234730	6	7	5	1
6	1Wolb8MRcXR2IMMaELTRpE	Envolvimento	MC Loma e As Gêmeas Lacração	2128549	5	5	2	-1
7	5qjMyKkmosPBws5cImS9Zz	Trincadinho - Ao Vivo	Jorge & Mateus	2077066	19	2	7	12
8	4JPSfCXQe6kDliMIJTqISW	Coladinha em Mim - Ao Vivo	Gustavo Mioto	2020704	10	11	8	2
9	65CTrkKjcQcZmyv0373syo	Largado As Traças - Acústico	Zé Neto & Cristiano	2009817	16	5	9	7
10	0dGqIEsFN3KakdPCMkgjre	Dona Maria	Thiago Brava	1999916	11	18	8	1
11	2cwFhwT6L2D4Olc25nhyZo	Amor Da Sua Cama	Felipe Araújo	1993932	7	19	7	-4
12	7JdZZfozlODQ08ATf8xIZ6	Anti-Amor - Ao Vivo	Gustavo Mioto	1988806	13	11	12	1
13	7q5agbUOzZnVF4Yes3AD7I	Deixa Ela Beijar	Matheus & Kauan	1956128	8	16	4	-5
14	0pDaqgIForVNO4jrtTxcWT	Agora Vai Sentar	MC's Jhowzinho & Kadinho	1869222	9	26	1	-5
15	3Ga6eKrUFf12ouh9Yw3v2D	Downtown	Anitta	1819621	12	16	1	-3
16	1kNVJQEkobOlyfbctPZ4fs	Amar Amei	Mc Don Juan	1752929	14	18	3	-2
17	2srL4DYBekshpbprS6H0mO	Deixe Me Ir - Acústico	1Kilo	1723588	15	42	1	-2
18	2XW4DbS6NddZxRPm5rMCeY	God's Plan	Drake	1615140	21	7	18	3
19	4lNriuYNZD2YP2OPG6xOte	Tem Café	Gaab	1611215	23	16	19	4
20	3sIMCkwUZbQbWeNOTG3ET4	Permanecer	Lucas Lucco	1602439	18	18	5	-2
