position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	1185978	3	14	1	2
2	6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	1180957	1	7	1	-1
3	3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	1166362	4	13	2	1
4	4y3OI86AEP6PQoDE6olYhO	Sucker	Jonas Brothers	1079556	2	4	1	-2
5	2JvzF1RMd7lE3KmFlsyZD8	MIDDLE CHILD	J. Cole	988493	5	10	2	0
6	53CJANUxooaqGOtdsBTh7O	Old Town Road	Lil Nas X	976753	23	2	6	17
7	4RbbzNY4MEcgzewYWkIsGu	Price On My Head (feat. The Weeknd)	NAV	943326	nan	1	7	new
8	1wJRveJZLSb1rjhnUHQiv6	Swervin (feat. 6ix9ine)	A Boogie Wit da Hoodie	928520	9	14	8	1
9	7eBqSVxrzQZtK2mmgRG6lC	Murder On My Mind	YNW Melly	907860	8	9	7	-1
10	4kV4N9D1iKVxx1KLvtTpjS	break up with your girlfriend, i'm bored	Ariana Grande	900279	6	7	1	-4
11	2IRZnDFmlqMuOrYOLnZZyc	Going Bad (feat. Drake)	Meek Mill	894249	7	17	2	-4
12	5icOoE6VgqFKohjWWNp0Ac	Here With Me	Marshmello	831163	12	3	12	0
13	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	817388	10	25	6	-3
14	63cd4JkwGgYJrbOizbfmsp	Pure Water (with Migos)	Mustard	805517	11	10	11	-3
15	6Qs4SXO9dwPj5GKvVOv8Ki	Dancing With A Stranger (with Normani)	Sam Smith	752283	16	11	7	1
16	1WSGTYKLEpKfNQYYW5Oymt	I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)	benny blanco	709225	21	4	15	5
17	3Ol2xnObFdKV9pmRD2t9x8	Look Back at It	A Boogie Wit da Hoodie	678798	17	14	9	0
18	1DUSuNhF8P5vUGNPpQiZa5	My Bad	Khalid	664779	15	3	15	-3
19	6Hj9jySrnFppAI0sEMCZpJ	Robbery	Juice WRLD	656107	13	3	9	-6
20	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	646077	19	32	2	-1
21	0rTV5WefWd1J3OwIheTzxM	Talk	Khalid	645613	22	7	14	1
22	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	634353	18	34	2	-4
23	5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	624377	20	25	4	-3
24	4NzMOnvSJVNKF7nw5NkXIP	bury a friend	Billie Eilish	617791	31	9	3	7
25	0NJp8GyCOWnQh71xKSPfuV	Freaky	Tory Lanez	613744	25	2	25	0
26	6vWEAOUSxohKxhp0K1BsxL	Mixed Personalities (feat. Kanye West)	YNW Melly	594817	33	10	26	7
27	4txc3txsIt81diMzGhrVPS	wish you were gay	Billie Eilish	594128	24	4	12	-3
28	78QR3Wp35dqAhFEc2qAGjE	Drip Too Hard (Lil Baby & Gunna)	Lil Baby	582678	29	25	4	1
29	7FGq80cy8juXBCD2nrqdWU	Eastside (with Halsey & Khalid)	benny blanco	582558	32	16	11	3
30	6MjNilJCVKJq0LfFvo5jWJ	Fast	Juice WRLD	574882	14	3	8	-16
31	3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	Ariana Grande	568896	30	7	7	-1
32	1xkMNjOFNCw3OCI7Gtjpjb	Tap (feat. Meek Mill)	NAV	554611	nan	1	32	new
33	7COXchtUOMd6uIT6HvmRaI	i'm so tired...	Lauv	548431	34	9	17	1
34	0FZ4Dmg8jJJAPJnvBIzD9z	ZEZE (feat. Travis Scott & Offset)	Kodak Black	539890	26	15	4	-8
35	3oh6SCCeLuXhFpEyepla6G	Thotiana	Blueface	526552	28	11	8	-7
36	5w9c2J52mkdntKOmRLeM2m	Con Calma	Daddy Yankee	520971	38	7	36	2
37	2qxmye6gAegTMjLKEBoR3d	Let Me Down Slowly	Alec Benjamin	510982	36	11	32	-1
38	5WHTFyqSii0lmT9R21abT8	Don't Call Me Up	Mabel	508788	40	8	38	2
39	1ThmUihH9dF8EV08ku5AXN	Faucet Failure	Ski Mask The Slump God	500418	43	14	39	4
40	2t8yVaLvJ0RenpXUIAC52d	a lot	21 Savage	494758	35	14	20	-5
41	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	494724	39	40	10	-2
42	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	489490	42	48	1	0
43	11cDEev79fPKi6uJCjUhu8	Who Do You Love	The Chainsmokers	488305	41	7	31	-2
44	25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	470773	49	26	30	5
45	6zeeWid2sgw4lap2jV61PZ	Better	Khalid	467526	45	22	10	0
46	3KLo7ByvjCNyBrfz5DZ2mO	Splashin	Rich The Kid	456679	nan	1	46	new
47	1xzBco0xcoJEDXktl7Jxrr	Mo Bamba	Sheck Wes	453934	44	25	4	-3
48	285pBltuF7vW8TeWk8hdRR	Lucid Dreams	Juice WRLD	449829	46	16	14	-2
49	5kfNriitmkNE8mUbZ7gbq8	Saturday Nights	Khalid	447258	47	23	14	-2
50	2iUXsYOEPhVqEBwsqP70rE	Youngblood	5 Seconds of Summer	441445	50	41	14	0
51	2H4gf1wLxvYreMj1jcaN0k	Be Alright	Dean Lewis	434923	nan	1	51	new
52	0PG9fbaaHFHfre2gUVo7AN	Please Me	Cardi B	424582	37	6	21	-15
53	4dTiQezDWmEOWcdCbWVWMp	Numb Numb Juice	ScHoolboy Q	417182	27	2	27	-26
54	5CE0V7z1ePOZQNJNpWxYGA	Confessions of a Dangerous Mind	Logic	412376	nan	1	54	new
55	4ZT9FnbFu1PaBfV3itxiqT	I	Lil Skies	411917	48	4	29	-7
56	3iKALqmeWDBWRlQU8z03kA	To My Grave	NAV	387962	nan	1	56	new
57	4u7EnebtmKWzUH433cf5Qv	Bohemian Rhapsody - 2011 Mix	Queen	387385	nan	1	57	new
58	5IaHrVsrferBYDm0bDyABy	Taste (feat. Offset)	Tyga	382544	55	45	2	-3
59	1NJcg626wLln4pGHpiV7mf	lovely	Billie Eilish	376602	66	16	50	7
60	0TlLq3lA83rQOYtrqBqSct	Nonstop	Drake	375214	58	36	6	-2
61	3npzogdOEiVsieXmmhBepL	The Bones	Maren Morris	374167	68	3	61	7
62	6JqpFboOH2bq9pzaYbkKBn	R.I.P. (feat. Rita Ora & Anitta)	Sofia Reyes	373966	52	2	52	-10
63	14JzyD6FlBD5z0wV5P07YI	when the party's over	Billie Eilish	371042	72	24	13	9
64	0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	370906	60	48	7	-4
65	5JEx7HbmvHQQswJCsoo9rA	Close To Me (with Diplo) (feat. Swae Lee)	Ellie Goulding	368882	64	22	22	-1
66	0nA2zH7QBV92QkSuwdCZbi	Hold Your Breath (feat. Gunna)	NAV	367798	nan	1	66	new
67	5itOtNx0WxtJmi1TQ3RuRd	Giant (with Rag'n'Bone Man)	Calvin Harris	364677	63	11	26	-4
68	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	362225	62	54	1	-6
69	0i0wnv9UoFdZ5MfuFGQzMy	Last Hurrah	Bebe Rexha	361329	73	5	62	4
70	6ZRuF2n1CQxyxxAAWsKJOy	Nights Like This (feat. Ty Dolla $ign)	Kehlani	357521	53	5	28	-17
71	14mHfNsSHN0FbLftyjrV9g	Leave Me Alone	Flipp Dinero	356240	65	30	15	-6
72	116H0KvKr2Zl4RPuVBruDO	MIA (feat. Drake)	Bad Bunny	355826	61	24	2	-11
73	1fewSx2d5KIZ04wsooEBOz	Space Cadet (feat. Gunna)	Metro Boomin	353751	69	19	21	-4
74	4bi9YrkOvmg4Eb7h00AW2c	Fall Threw (feat. Young Thug & Gunna)	Rich The Kid	351616	nan	1	74	new
75	4w8niZpiMy6qz1mntFA5uM	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake	349118	67	26	6	-8
76	7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	Loud Luxury	347968	70	39	11	-6
77	4TWflhgevIGo448fWc6mQq	Red Room	Offset	341906	57	5	25	-20
78	2P91MQbaiQOfbiz9VqhqKQ	I Like Me Better	Lauv	338365	74	43	50	-4
79	0jAfdqv18goRTUxm3ilRjb	Startender (feat. Offset and Tyga)	A Boogie Wit da Hoodie	336331	71	14	18	-8
80	4e4fqjx0Izh4svvTef1z7e	Meant to Be (feat. Florida Georgia Line)	Bebe Rexha	331779	80	40	38	0
81	13ZyrkCDmRz5xY3seuAWYk	Hear Me Calling	Juice WRLD	330128	51	3	27	-30
82	5AjINjwKyRvQJhSe2zpPHi	Pop Out (feat. Lil Tjay)	Polo G	330068	153	2	82	71
83	7DHApOHsIFo7EyfieArYGE	Walk Me Home	P!nk	329751	88	5	74	5
84	3HP3VodiF28Bcr3dlProO4	Taking Chances	NAV	326995	nan	1	84	new
85	2G1tXoGBaEMJ7FKGnkf6ud	Wake Up in the Sky	Gucci Mane	325299	75	16	37	-10
86	5SHhPFh68OhUmuRPymKX9d	Undrunk	FLETCHER	324646	106	2	86	20
87	6JQvHMSaR8flFsN53ypOfP	Noticed	Lil Mosey	322180	81	23	27	-6
88	7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	320368	82	41	4	-6
89	58q2HKrzhC3ozto2nDdN4z	I Like It	Cardi B	319431	79	51	3	-10
90	3swc6WTsr7rl9DqQKQA55C	Psycho (feat. Ty Dolla $ign)	Post Malone	318992	86	48	2	-4
91	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	315372	84	54	5	-7
92	577YBGuskWkVDCxZrLRB4v	Pure Cocaine	Lil Baby	314918	91	16	75	-1
93	4NBTZtAt1F13VvlSKe6KTl	This Feeling	The Chainsmokers	313553	85	15	69	-8
94	2GGMabyHXnJmjY6CXhhB2e	Money	Cardi B	313502	78	22	23	-16
95	04MLEeAMuV9IlHEsD8vF6A	No Stylist	French Montana	307078	83	27	4	-12
96	6Yx181fZzA0YE2EkUsYruq	Big Plans	Why Don't We	300050	96	7	96	0
97	05t7JMip6JrLuSrMV5yYjX	Envy Me	Calboy	298009	98	6	97	1
98	5wujBwqG7INdStqGd4tRMX	Armed And Dangerous	Juice WRLD	296681	90	16	49	-8
99	7sO5G9EABYOXQKNPNiE9NR	Ric Flair Drip (& Metro Boomin)	Offset	293893	94	74	6	-5
100	28yESWw8HvQoZlyGpyH5Va	Tussin (feat. Young Thug)	NAV	293171	nan	1	100	new
101	4UxYkWi636UMaEjCw5n0JX	Snap	NAV	292404	nan	1	101	new
102	14SaZBTjxlorHJQxXh01Hu	Girls Need Love (with Drake) - Remix	Summer Walker	290048	76	3	67	-26
103	5LuQkwfggW5ibdkSMA4sDT	Tension	NAV	288170	nan	1	103	new
104	0fcq51a3gOI6gPvzc0YLsk	Wow. - Remix	Post Malone	287482	nan	1	104	new
105	6DCZcSspjsKoFjzjrWoCdn	God's Plan	Drake	287249	93	36	20	-12
106	7pMRoGLEJuFM2wl5pt0R99	Legacy (feat. Travis Scott & 21 Savage)	Offset	284082	95	5	24	-11
107	7uttm8Iurm5uK67Vr9G2Sp	Almost (Sweet Music)	Hozier	282422	87	2	87	-20
108	0W5Nkn9oyRvZhW6nXdDyNJ	Ralo	NAV	281298	nan	1	108	new
109	6Gy7rXB6Ku5vIWC7WGWsl3	KIKA	6ix9ine	280500	89	18	3	-20
110	51w9Jbat1pLeWINGCpnQUR	TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix	Tory Lanez	278329	92	13	87	-18
111	4qKcDkK6siZ7Jp1Jb4m0aL	Look Alive (feat. Drake)	BlocBoy JB	277801	97	59	2	-14
112	2eevcC9gSoo9wdynZkUXPz	I'm Ready	NAV	277466	nan	1	112	new
113	40T5GIqQ1CegGm2PTEl8Bu	idontwannabeyouanymore	Billie Eilish	275482	116	16	74	3
114	2BgEsaKNfHUdlh97KmvFyo	2002	Anne-Marie	270993	104	30	87	-10
115	25F6MWrnFBCXVnpN4n76EK	Keanu Reeves	Logic	270810	100	10	20	-15
116	3Pqw8MreEUo4Z8ktO5ilkD	Know Me	NAV	270686	nan	1	116	new
117	79esEXlqqmq0GPz0xQSZTV	Lost In Japan	Shawn Mendes	270321	99	8	84	-18
118	2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	Drake	267969	105	36	1	-13
119	2rxQMGVafnNaRaXlRMWPde	Beautiful Crazy	Luke Combs	266282	159	20	119	40
120	1ahVFh0ViDZr8LvkEVlq3B	No Sleep (feat. Bonn)	Martin Garrix	264871	107	5	107	-13
121	2VGD6mGeuv6aORaU0vKsHB	Tic Toc (with Tory Lanez)	Rich The Kid	260420	nan	1	121	new
122	5T8EDUDqKcs6OSOwEsfqG7	Don't Stop Me Now - 2011 Mix	Queen	259865	109	17	102	-13
123	09IStsImFySgyp0pIQdqAc	The Middle	Zedd	259229	110	42	9	-13
124	1TEL6MlSSVLSdhOSddidlJ	needy	Ariana Grande	258583	102	7	4	-22
125	2U8SmeukrDYVbRe8Ig03Fo	Why You Crying Mama	NAV	254423	nan	1	125	new
126	7m9OqQk4RVRkw9JJdeAw96	Jocelyn Flores	XXXTENTACION	253905	115	83	9	-11
127	41MCdlvXOl62B7Kv86Bb1v	Empty	Juice WRLD	252975	77	3	35	-50
