position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
59	5ry2OE6R2zPQFDO85XkgRb	Money In The Grave (Drake ft. Rick Ross)	Drake	9102412	44	20	5	-15
60	1nocRtwyNPVtGcIJqfgdzZ	Tutu	Camilo	9001287	41	12	27	-19
61	3cphb8kdsjElYR7r5icK3H	Nice To Meet Ya	Niall Horan	8851964	61	4	61	0
62	5Id5B3dxJZhPcV9GzgYZZe	Quizas	Rich Music LTD	8814040	55	3	52	-7
63	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	8754601	49	56	3	-14
64	6XHVuErjQ4XNm6nDPVCxVX	No Guidance (feat. Drake)	Chris Brown	8700729	46	18	14	-18
65	6RyaV7owmVU6fzEPE17sF1	Que Tire Pa Lante	Daddy Yankee	8690730	111	2	65	46
66	3NkJNL3WqO1Lqc3uNDxvCN	Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)	Ariana Grande	8684601	38	7	3	-28
67	7CHi4DtfK4heMlQaudCuHK	Lose Control	MEDUZA	8682821	94	2	67	27
68	6oJ6le65B3SEqPwMRNXWjY	Higher Love	Kygo	8539582	37	18	31	-31
69	1DFD5Fotzgn6yYXkYsKiGs	Piece Of Your Heart	MEDUZA	8530666	51	26	14	-18
70	5aUSEPNd3m5xliFK4pn5mU	Good Thing (with Kehlani)	Zedd	8485389	58	5	53	-12
71	6hw1Sy9wZ8UCxYGdpKrU6M	Roller	Apache 207	8395606	nan	1	71	new
72	6kls8cSlUyHW2BUOkDJIZE	Hate Me (with Juice WRLD)	Ellie Goulding	8044068	95	12	66	23
73	4t9a07PAghtQMRAIP9FQ7Z	Soltera - Remix	Lunay	7889155	nan	1	73	new
74	4sWuPniHClkInYAnzXAYUF	Camelot	NLE Choppa	7872437	57	7	47	-17
75	6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	7796119	59	38	1	-16
76	0rIAC4PXANcKmitJfoqmVm	Motivation	Normani	7718623	65	11	42	-11
77	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	7689419	62	63	2	-15
78	05mDaV9Vb3wrzjF6OPZnhq	Saint-Tropez	Post Malone	7582510	36	7	9	-42
79	4bTZeO72FwMa6wKOiqoynL	Otro Trago - Remix	Sech	7524654	66	14	11	-13
80	6dNB3XdAzx7kTf5wa8Rg89	Wieso tust Du dir das an?	Apache 207	7521380	nan	1	80	new
81	59s0s39NFWScuHDbHytI14	Indeciso	Reik	7449196	72	8	72	-9
82	0u2P5u6lvoDfwTYjAADbn4	lovely (with Khalid)	Billie Eilish	7411485	64	58	24	-18
83	4Of7rzpRpV1mWRbhp5rAqG	Bruises	Lewis Capaldi	7400710	92	15	83	9
84	4a6q8CR2hzLk2plDkSxkfD	I.F.L.Y.	Bazzi	7257615	76	12	47	-8
85	5nCthAh3jt4xKuLJAifAaR	Harleys In Hawaii	Katy Perry	7242689	47	2	47	-38
86	322tcqPhma7F6hfCeLisx0	fuck, i'm lonely	Lauv	7238307	60	13	30	-26
87	5hDAT527wXWNBnJlujhuUs	Stuck In A Dream (feat. Gunna)	Lil Mosey	7203206	86	5	86	-1
88	26wLOs3ZuHJa2Ihhx6QIE6	Teeth	5 Seconds of Summer	7156596	83	10	46	-5
89	4u7EnebtmKWzUH433cf5Qv	Bohemian Rhapsody - 2011 Mix	Queen	7077976	78	32	39	-11
90	22vgEDb5hykfaTwLuskFGD	Sucker	Jonas Brothers	7031287	79	21	9	-11
91	46D0hYb1B7qiU33VtXt21W	Easy	Camila Cabello	7000005	80	3	80	-11
92	3s4mrPrEFFPF0LmAfutW0n	The London (feat. J. Cole & Travis Scott)	Young Thug	6999193	67	11	29	-25
93	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	6902101	84	65	2	-9
94	43zdsphuZLzwA9k4DJhU0I	when the party's over	Billie Eilish	6862147	74	31	9	-20
95	7xQAfvXzm3AkraOtGPWIZg	Wow.	Post Malone	6831297	70	7	42	-25
96	0y675KDleCZEudjoeL1sQQ	Feelings	Lauv	6831033	91	6	89	-5
97	0Xek5rqai2jcOWCYWJfVCF	Enemies (feat. DaBaby)	Post Malone	6734367	68	7	19	-29
98	0pqnGHJpmpxLKifKRmU6WP	Believer	Imagine Dragons	6724939	89	67	68	-9
99	36orMWv2PgvnzXsd5CJ0yL	Post Malone (feat. RANI)	Sam Feldt	6707925	63	11	62	-36
100	1ndyl3wJCFs872XZ3ztPk6	DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix	Justin Quiles	6682269	103	7	100	3
101	25ZAibhr3bdlMCLmubZDVt	QUE PRETENDES	J Balvin	6638016	90	18	15	-11
102	5099x34vBakWpGkHourFxP	Qué Pena	Maluma	6633107	85	5	77	-17
