position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	0TK2YIli7K1leLovkQiNik	Señorita	Shawn Mendes	61224745	1	5	1	0
2	0hVXuCcriWRGvwMV1r5Yn9	I Don't Care (with Justin Bieber)	Ed Sheeran	31405904	2	2	2	0
3	70eFcWOvlMObDhURTqT4Fv	Beautiful People (feat. Khalid)	Ed Sheeran	30909530	3	2	3	0
4	6vBdBCoOhKHiYDDOcorfNo	Goodbyes (Feat. Young Thug)	Post Malone	29585478	4	3	2	0
5	6u7jPi22kF8CTQ3rb9DHE7	Old Town Road (feat. Billy Ray Cyrus) - Remix	Lil Nas X	24682240	6	16	2	1
6	2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	24218751	5	17	1	-1
7	2TH65lNHgvLxCKXM3apjxI	Callaita	Bad Bunny	20938701	8	8	7	1
8	2ksOAxtIxY8yElEWw8RhgK	China	Anuel AA	20707036	nan	1	8	new
9	6b2RcmUt1g9N9mQ3CbjX2Y	How Do You Sleep?	Sam Smith	20565888	nan	1	9	new
10	1fBXSMOusjaj7GjzErHmUI	Loco Contigo	DJ Snake	18602563	nan	1	10	new
11	1Ej96GIBCTvgH7tNX1r3qr	Otro Trago	Sech	18499150	11	13	4	0
12	3yNZ5r3LKfdmjoS3gkhUCT	bad guy (with Justin Bieber)	Billie Eilish	18046778	9	2	9	-3
13	6fTt0CH2t0mdeB2N9XFG5r	Panini	Lil Nas X	17818356	13	5	7	0
14	7qEHsqek33rTcFNT9PFqLf	Someone You Loved	Lewis Capaldi	17717445	14	10	7	0
15	5ry2OE6R2zPQFDO85XkgRb	Money In The Grave (Drake ft. Rick Ross)	Drake	17517483	12	6	5	-3
16	1DhRbox3xkceP64k3JeYfW	Antisocial (with Travis Scott)	Ed Sheeran	17432151	7	2	7	-9
17	3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	16783888	18	30	1	1
18	1kBbgxAUc4HQv7cgIayIDH	Ransom	Lil Tecca	15910634	24	5	18	6
19	5qmq61DAAOUaW8AUo8xKhh	Truth Hurts	Lizzo	15829642	21	12	19	2
20	1c0hsvHLELX6y8qymnpLKL	Soltera - Remix	Lunay	15545305	19	11	8	-1
21	1DFD5Fotzgn6yYXkYsKiGs	Piece Of Your Heart	MEDUZA	15245869	22	12	14	1
22	5w9c2J52mkdntKOmRLeM2m	Con Calma	Daddy Yankee	15054287	20	26	2	-2
23	0fea68AdmYNygeTGI4RC18	LA CANCIÓN	J Balvin	14524819	26	4	20	3
24	51Fjme0JiitpyXKuyQiCDo	Lalala	Y2K	14351284	35	4	24	11
25	4vUmTMuQqjdnvlZmAH61Qk	South of the Border (feat. Camila Cabello & Cardi B)	Ed Sheeran	13990422	10	2	10	-15
26	6LsAAHotRLMOHfCsSfYCsz	If I Can't Have You	Shawn Mendes	13712369	23	12	4	-3
27	4R8BJggjosTswLxtkw8V7P	No Me Conoce - Remix	Jhay Cortez	13531879	30	9	27	3
28	29fRTIKsJhLUJoldM89GZS	You Need To Calm Down	Taylor Swift	13517718	25	6	4	-3
29	4wuCQX7JvAZLlrcmH4AeZF	Cross Me (feat. Chance the Rapper & PnB Rock)	Ed Sheeran	12934499	16	2	16	-13
30	6moU77g9RQyMzHNuKEaQKq	It's You	Ali Gatie	12680162	36	6	29	6
31	25ZAibhr3bdlMCLmubZDVt	QUE PRETENDES	J Balvin	12529837	29	4	15	-2
32	5PYQUBXc7NYeI1obMKSJK0	Never Really Over	Katy Perry	12256490	27	8	10	-5
33	40OMBMYRk5IQL6xCzGM0JA	Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)	Martin Garrix	12105088	33	3	25	0
34	22vgEDb5hykfaTwLuskFGD	Sucker	Jonas Brothers	12003832	34	7	9	0
35	4hPpVbbakQNv8YTHYaOJP4	One Thing Right	Marshmello	11885029	37	5	30	2
36	05CwHjIk71RXVU40boRMnR	Call You Mine	The Chainsmokers	11557238	31	8	22	-5
37	6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	11498117	39	24	1	2
38	6oJ6le65B3SEqPwMRNXWjY	Higher Love	Kygo	11497837	43	4	31	5
39	7KbF6AdprOXEEHlsq11Z6d	11 PM	Maluma	11397919	40	10	33	1
40	53CJANUxooaqGOtdsBTh7O	Old Town Road	Lil Nas X	11144701	38	19	3	-2
41	7DcvwMAiqKJQD1rrdfxSDx	The London (feat. J. Cole & Travis Scott)	Young Thug	11105172	41	9	6	0
42	2qG5sZ7Si6sdK74qLxedYM	Con Altura	ROSALÍA	10634250	44	17	30	2
43	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	10538290	45	42	3	2
44	0AtP8EkGPn6SwxKDaUuXec	Remember The Name (feat. Eminem & 50 Cent)	Ed Sheeran	10474036	15	2	15	-29
45	6TqXcAFInzjp0bODyvrWEq	Talk (feat. Disclosure)	Khalid	10399937	47	16	10	2
46	6v0lAdFF4haL8xjBIUjtOw	Te Robaré	Nicky Jam	10220237	46	18	28	0
47	5iwz1NiezX7WWjnCgY5TH4	Calma - Remix	Pedro Capó	9980018	50	37	5	3
48	6XHVuErjQ4XNm6nDPVCxVX	No Guidance (feat. Drake)	Chris Brown	9799641	48	4	29	0
49	2x0RZdkZcD8QRI53XT4GI5	SOS (feat. Aloe Blacc)	Avicii	9773185	49	7	5	0
50	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	9640741	51	49	2	1
51	6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	9170392	53	31	2	2
52	1kK6DwzyXJSp58u5HYWwuD	Go Loko (feat. Tyga, Jon Z)	YG	9099453	55	9	38	3
53	2gwkD6igEhQbDQegRCcdoB	Suge	DaBaby	9020738	64	13	26	11
54	0mjAU3yKR1QnXnHtjGJqTM	Rescue Me	OneRepublic	8749744	56	10	32	2
55	43zdsphuZLzwA9k4DJhU0I	when the party's over	Billie Eilish	8732863	54	17	9	-1
56	6Qs4SXO9dwPj5GKvVOv8Ki	Dancing With A Stranger (with Normani)	Sam Smith	8703259	75	28	7	19
57	7g8YaUQABMal0zWe7a2ijz	Pa Mí - Remix	Dalex	8702589	58	11	22	1
58	4lzxJ4jCuFDXXGkE1LmpKR	Verte Ir	DJ Luian	8578064	61	17	25	3
59	5jW3rF4URMdK7tO2xjS5EI	Tal Vez	Paulo Londra	8551330	57	9	24	-2
60	0u2P5u6lvoDfwTYjAADbn4	lovely (with Khalid)	Billie Eilish	8481265	60	44	24	0
61	4ak7xjvBeBOcJGWFDX9w5n	Rodeo	Lil Nas X	8309637	52	5	27	-9
62	7oqftogUN82Q7VNy2TmTJW	MOOD 4 EVA (feat. Oumou Sangaré)	Beyoncé	8226052	nan	1	62	new
63	5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	8190582	67	42	4	4
64	4MsUsFfWseB9M2plGJyuIw	ME! (feat. Brendon Urie of Panic! At The Disco)	Taylor Swift	8047569	77	10	13	13
65	5WHTFyqSii0lmT9R21abT8	Don't Call Me Up	Mabel	7905802	70	25	11	5
66	7ILEWkpfdK6AjH2D7jppWk	Don't Check On Me (feat. Justin Bieber & Ink)	Chris Brown	7888818	73	4	39	7
67	25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	7863112	72	43	6	5
68	6uFn47ACjqYkc0jADwEdj1	Pop Out (feat. Lil Tjay)	Polo G	7831698	76	7	40	8
69	5dW1VZPcFqB4n0P08rGDgm	The Git Up	Blanco Brown	7806278	95	6	69	26
70	7BuSE9uTIw931wtZYzvZcQ	Runaway	Sebastian Yatra	7797259	80	5	57	10
71	0qc4QlcCxVTGyShurEv1UU	Post Malone (feat. RANI)	Sam Feldt	7775251	59	5	59	-12
72	79JBjIq90BrQ8Ws0pUhlzD	Mad Love	Mabel	7713393	81	7	54	9
73	02itaCXOdC54J0ISjqqFAp	All Around The World (La La La)	R3HAB	7664621	65	7	59	-8
74	3M9Apu4OZfylLTFKvgEtKa	Ritual	Tiësto	7660524	98	8	74	24
75	6kls8cSlUyHW2BUOkDJIZE	Hate Me (with Juice WRLD)	Ellie Goulding	7626183	113	4	75	38
76	1LIqNVhaIgxXUt2eVoIQJ3	HP	Maluma	7606153	84	10	23	8
77	1AI7UPw3fgwAFkvAlZWhE0	Take Me Back to London (feat. Stormzy)	Ed Sheeran	7593577	32	2	32	-45
