position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	58st6r10Ze6QomHs0BMUA8	91's	PNL	1770204	1	3	1	0
2	2XESFfYekQ0mRau2GXjT3E	Air Max	Rim'K	1750903	2	6	1	0
3	1m0UFnuTktOkksvjbF9z0m	Ramenez la coupe à la maison	Vegedream	1537354	3	6	1	0
4	13E2wgUjmdunrlq3Vbxv8T	W.L.G	Niska	1384128	4	3	3	0
5	2NUIWpL6IsYGkwfSN7basS	Ma 6t a craqué (feat. Ninho)	Kpoint	1334641	5	5	5	0
6	0E9ZjEAyAwOXZ7wJC0PD33	In My Mind	Dynoro	1152081	6	6	6	0
7	3AZg5nZgMquXJ67KgpngKX	Copines	Aya Nakamura	1105375	nan	1	7	new
8	6kPJZM97LwdG9QIsT7khp6	Solo (feat. Demi Lovato)	Clean Bandit	978403	10	14	4	2
9	2G7V7zsVDxg1yRsu7Ew9RJ	In My Feelings	Drake	936420	7	6	2	-2
10	4L0Iwsk1s8cbdBcEgdm8K5	Feu de bois	Damso	933600	11	11	2	1
11	14hLSMLJ86sHRklJ62tH58	Django	Dadju	908975	19	9	9	8
12	4xrIWVwDYmJ5KFXinj82TG	Taga	Hornet La Frappe	901137	9	7	7	-3
13	44ahv3Zj4FOJoy8gJLZF9B	Alright	Jain	896593	nan	1	13	new
14	61SYuUg9rokbvIPxzrhxd0	Billets verts	Maes	894805	12	5	11	-2
15	7fa9MBXhVfQ8P8Df9OEbD8	Girls Like You (feat. Cardi B)	Maroon 5	878802	14	11	13	-1
16	4bZOVCf1wiNELuCH34rFDl	Complètement sonné	KeBlack	827198	8	16	8	-8
17	63SevszngYpZOwf63o61K4	Nevermind	Dennis Lloyd	788875	13	23	5	-4
18	0SJRHDAStlsrXIXeFZZStK	Bella	MHD	787812	29	6	18	11
19	3XfnssSD9HMQ9LhVOJvXTE	Djadja	Aya Nakamura	787710	16	21	2	-3
20	3u1S1OmAUhx5DRlLrXqyp3	Rise	Jonas Blue	782160	17	11	17	-3
21	0N90EmHdOXLnTYDoeLwsmr	Bad Boy	Marwa Loud	755810	20	25	20	-1
22	7ef4DlsgrMEH11cDZd32M6	One Kiss (with Dua Lipa)	Calvin Harris	739368	15	21	3	-7
23	55PyQALchJn43CGeN6XHAN	Luna	Moha La Squale	733191	22	14	22	-1
24	4A6V8yOXo7oz6oYhdfHrLl	La C	Koba LaD	717013	18	2	18	-6
25	1h1wmYG39fp6ZTgwlJ3Cv3	Smog	Damso	715096	28	11	1	3
26	196cSZjrDdgaJILT3cpfYl	Woah	Sofiane	713343	25	5	14	-1
27	0JOJx8jx0dWZk33MsvRZrB	Juste pour voir	S.Pri Noir	707907	23	16	20	-4
28	76HlSm9QxyXxpks5HTYS0F	Habitué	Dosseh	699328	26	8	2	-2
29	0G0WC5ghZRRH6LJNNXtK1W	Santana	Alonzo	674356	24	21	7	-5
30	4DMSNaJcSirQN31BSf2BeZ	Toto et Ninetta	Jul	667989	27	9	1	-3
31	2E124GmJRnBJuXbTb4cPUB	FEFE (feat. Nicki Minaj & Murda Beatz)	6ix9ine	656120	33	6	15	2
32	03O32oEi0jJsbmcHMjCPBD	Bucci Night	Yaro	655876	56	6	32	24
