position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	6ocbgoVGwYJhOv1GgI9NsF	7 rings	Ariana Grande	12845139	1	3	1	0
2	4kV4N9D1iKVxx1KLvtTpjS	break up with your girlfriend, i'm bored	Ariana Grande	11428284	2	3	1	0
3	2JvzF1RMd7lE3KmFlsyZD8	MIDDLE CHILD	J. Cole	10867025	3	6	1	0
4	6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	9993194	4	10	2	0
5	7dbka99KTWke5o9hRp0JoB	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	9794296	nan	1	5	new
6	7eBqSVxrzQZtK2mmgRG6lC	Murder On My Mind	YNW Melly	9530075	11	23	6	5
7	44ShclXTOOnYtt5CnCDeGV	Robbery	Juice WRLD	8990517	6	2	6	-1
8	2IRZnDFmlqMuOrYOLnZZyc	Going Bad (feat. Drake)	Meek Mill	8317565	7	13	2	-1
9	2t8yVaLvJ0RenpXUIAC52d	a lot	21 Savage	7527219	8	10	7	-1
10	3oh6SCCeLuXhFpEyepla6G	Thotiana	Blueface	7248305	9	8	9	-1
11	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	7200864	49	21	11	38
12	3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	Ariana Grande	6816041	10	3	7	-2
13	78QR3Wp35dqAhFEc2qAGjE	Drip Too Hard (Lil Baby & Gunna)	Lil Baby	6546851	17	21	1	4
14	0rTV5WefWd1J3OwIheTzxM	Talk	Khalid	6150584	18	3	14	4
15	63cd4JkwGgYJrbOizbfmsp	Pure Water (with Migos)	Mustard	6023522	23	6	15	8
16	4NzMOnvSJVNKF7nw5NkXIP	bury a friend	Billie Eilish	6003356	13	5	3	-3
17	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	5987886	19	30	1	2
18	1wJRveJZLSb1rjhnUHQiv6	Swervin (feat. 6ix9ine)	A Boogie Wit da Hoodie	5929333	32	10	18	14
19	7pMRoGLEJuFM2wl5pt0R99	Legacy (feat. Travis Scott & 21 Savage)	Offset	5816863	nan	1	19	new
20	5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	5790278	22	21	5	2
21	3Ol2xnObFdKV9pmRD2t9x8	Look Back at It	A Boogie Wit da Hoodie	5603054	20	10	9	-1
22	4TWflhgevIGo448fWc6mQq	Red Room	Offset	5465147	nan	1	22	new
23	4SPu0Ql902hTVXkBoNIYtq	NASA	Ariana Grande	5449743	12	3	3	-11
24	0FZ4Dmg8jJJAPJnvBIzD9z	ZEZE (feat. Travis Scott & Offset)	Kodak Black	5317370	25	11	4	1
25	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	5274816	27	28	8	2
26	1TEL6MlSSVLSdhOSddidlJ	needy	Ariana Grande	5167724	14	3	4	-12
27	7EQpvVujgytLVY8vKiDHAg	bad idea	Ariana Grande	5086730	16	3	5	-11
28	6Qs4SXO9dwPj5GKvVOv8Ki	Dancing With A Stranger (with Normani)	Sam Smith	5030220	31	7	12	3
29	1xzBco0xcoJEDXktl7Jxrr	Mo Bamba	Sheck Wes	4948079	30	21	1	1
30	6ZRuF2n1CQxyxxAAWsKJOy	Nights Like This (feat. Ty Dolla $ign)	Kehlani	4793023	nan	1	30	new
31	7COXchtUOMd6uIT6HvmRaI	i'm so tired...	Lauv	4778010	33	5	23	2
32	0PG9fbaaHFHfre2gUVo7AN	Please Me	Cardi B	4597342	15	2	15	-17
33	285pBltuF7vW8TeWk8hdRR	Lucid Dreams	Juice WRLD	4457856	35	12	11	2
34	2hloaUoRonYssMuqLCBLTX	bloodline	Ariana Grande	4378362	21	3	6	-13
35	5wujBwqG7INdStqGd4tRMX	Armed And Dangerous	Juice WRLD	4323908	39	12	24	4
36	6zeeWid2sgw4lap2jV61PZ	Better	Khalid	4253067	41	18	12	5
37	7FGq80cy8juXBCD2nrqdWU	Eastside (with Halsey & Khalid)	benny blanco	4209726	42	12	25	5
38	39LmTF9RgyakzSYX8txrow	imagine	Ariana Grande	4207847	26	3	13	-12
39	2GGMabyHXnJmjY6CXhhB2e	Money	Cardi B	4193590	37	19	17	-2
40	2G1tXoGBaEMJ7FKGnkf6ud	Wake Up in the Sky	Gucci Mane	4188467	38	12	13	-2
41	14mHfNsSHN0FbLftyjrV9g	Leave Me Alone	Flipp Dinero	4054124	36	26	10	-5
42	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	4027169	43	44	1	1
43	6vWEAOUSxohKxhp0K1BsxL	Mixed Personalities (feat. Kanye West)	YNW Melly	3986021	64	6	43	21
44	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	3971908	40	50	1	-4
45	3wFLWP0FcIqHK1wb1CPthQ	fake smile	Ariana Grande	3963045	24	3	8	-21
46	79OEIr4J4FHV0O3KrhaXRb	Splashin	Rich The Kid	3814687	45	11	30	-1
47	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	3550057	51	50	3	4
48	4lD7gHKF1e8Y9stQuVezZB	ghostin	Ariana Grande	3531442	28	3	9	-20
49	76PwajqH3ej4hnk9tgaJpp	Outstanding	Gunna	3460246	nan	1	49	new
50	05t7JMip6JrLuSrMV5yYjX	Envy Me	Calboy	3403337	55	9	50	5
51	11cDEev79fPKi6uJCjUhu8	Who Do You Love	The Chainsmokers	3374899	50	3	33	-1
52	5kfNriitmkNE8mUbZ7gbq8	Saturday Nights	Khalid	3342056	57	18	14	5
53	1fewSx2d5KIZ04wsooEBOz	Space Cadet (feat. Gunna)	Metro Boomin	3341994	53	15	37	0
54	0jAfdqv18goRTUxm3ilRjb	Startender (feat. Offset and Tyga)	A Boogie Wit da Hoodie	3327107	48	10	17	-6
55	6PfI6EeLNiNGVAVg11nv7D	Speed It Up	Gunna	3251517	nan	1	55	new
56	4mGdjNMo0RonTlOEb7cYg4	11 Minutes (with Halsey feat. Travis Barker)	YUNGBLUD	3220032	46	2	46	-10
57	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	3214559	52	36	13	-5
58	5w9c2J52mkdntKOmRLeM2m	Con Calma	Daddy Yankee	3181412	147	3	58	89
59	1NJcg626wLln4pGHpiV7mf	lovely	Billie Eilish	3169070	56	12	36	-3
60	14JzyD6FlBD5z0wV5P07YI	when the party's over	Billie Eilish	3123141	54	20	12	-6
61	4T652DlATVHe0jdLKaN3Bw	in my head	Ariana Grande	3112009	34	3	14	-27
62	7tFiyTwD0nx5a1eklYtX2J	Bohemian Rhapsody - 2011 Mix	Queen	3093718	79	18	42	17
63	116H0KvKr2Zl4RPuVBruDO	MIA (feat. Drake)	Bad Bunny	3014373	59	20	2	-4
64	32iPykTXUNZ9oGyACGUybq	How Did I Get Here (feat. J. Cole)	Offset	3001933	nan	1	64	new
65	577YBGuskWkVDCxZrLRB4v	Pure Cocaine	Lil Baby	2990230	61	13	52	-4
66	0e7ipj03S05BNilyu5bRzt	rockstar (feat. 21 Savage)	Post Malone	2984883	62	44	9	-4
