position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	7DcvwMAiqKJQD1rrdfxSDx	The London (feat. J. Cole & Travis Scott)	Young Thug	11666746	nan	1	1	new
2	5hVghJ4KaYES3BFUATCYn0	EARFQUAKE	Tyler, The Creator	10377249	1	2	1	-1
3	6u7jPi22kF8CTQ3rb9DHE7	Old Town Road (feat. Billy Ray Cyrus) - Remix	Lil Nas X	10327175	2	8	1	-1
4	2Fxmhks0bxGSBdJ92vM42m	bad guy	Billie Eilish	9785130	3	9	1	-1
5	3HVWdVOQ0ZA45FuZGSfvns	I Don't Care (with Justin Bieber)	Ed Sheeran	8382971	4	3	1	-1
6	5qmq61DAAOUaW8AUo8xKhh	Truth Hurts	Lizzo	8238564	5	4	5	-1
7	2gwkD6igEhQbDQegRCcdoB	Suge	DaBaby	8225410	6	9	6	-1
8	3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	7525350	7	22	1	-1
9	5AjINjwKyRvQJhSe2zpPHi	Pop Out (feat. Lil Tjay)	Polo G	6779344	11	10	9	2
10	6LsAAHotRLMOHfCsSfYCsz	If I Can't Have You	Shawn Mendes	6678250	9	4	4	-1
11	543bCW2ruMPmxUBWirQ3MR	Cross Me (feat. Chance the Rapper & PnB Rock)	Ed Sheeran	6272166	nan	1	11	new
12	6TqXcAFInzjp0bODyvrWEq	Talk (feat. Disclosure)	Khalid	6103705	12	8	6	0
13	2JvzF1RMd7lE3KmFlsyZD8	MIDDLE CHILD	J. Cole	5815531	15	19	1	2
14	36TO60sxDduIsO3xH8IcUh	Isis	Joyner Lucas	5560581	nan	1	14	new
15	53CJANUxooaqGOtdsBTh7O	Old Town Road	Lil Nas X	5517515	19	11	2	4
16	6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	5173986	20	23	2	4
17	1kK6DwzyXJSp58u5HYWwuD	Go Loko (feat. Tyga, Jon Z)	YG	5128200	nan	1	17	new
18	3XiNC94b4Tq1xwv70sQJGN	Sanguine Paradise	Lil Uzi Vert	5017667	23	8	6	5
19	1wJRveJZLSb1rjhnUHQiv6	Swervin (feat. 6ix9ine)	A Boogie Wit da Hoodie	4960587	22	23	7	3
