position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	2XW4DbS6NddZxRPm5rMCeY	God's Plan	Drake	2012807	1	10	1	0
2	65NwOZqoXny4JxqAPlfxRF	Psycho (feat. Ty Dolla $ign)	Post Malone	1769415	2	5	2	0
3	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	1390502	3	2	3	0
4	45Egmo7icyopuzJN0oMEdk	Love Lies (with Normani)	Khalid	1389199	5	6	4	1
5	10Igtw8bSDyyFs7KIsKngZ	Freaky Friday (feat. Chris Brown)	Lil Dicky	1337283	18	2	5	13
6	3GCdLUSnKSMJhs4Tj6CV3s	All The Stars (with SZA)	Kendrick Lamar	1282057	4	5	3	-2
7	08bNPGLD8AhKpnnERrAc6G	FRIENDS	Marshmello	1202540	6	7	4	-1
8	76cy1WJvNGJTj78UqeA5zr	IDGAF	Dua Lipa	1169417	8	13	4	0
9	2ARqIya5NAuvFVHSN3bL0m	The Middle	Zedd	1137390	7	5	6	-2
10	6tHWl8ows5JOZq9Yfaqn3M	Mine	Bazzi	1032523	9	9	4	-1
11	5CLGzJsGqhCEECcpnFQA8x	These Days (feat. Jess Glynne, Macklemore & Dan Caplen)	Rudimental	1019990	10	10	5	-1
12	79jX8RM5CgPqDKdGEKNW9K	In My Blood	Shawn Mendes	966465	nan	1	12	new
13	7iDa6hUg2VgEL1o1HjmfBn	Meant to Be (feat. Florida Georgia Line)	Bebe Rexha	958623	11	28	7	-2
14	75ZvA4QfFiZvzhj2xkaWAh	I Fall Apart	Post Malone	879520	13	27	1	-1
15	4ofvoCdXq99vpMZO4Cfp8x	Pray For Me (with Kendrick Lamar)	The Weeknd	859437	12	8	7	-3
16	4qKcDkK6siZ7Jp1Jb4m0aL	Look Alive (feat. Drake)	BlocBoy JB	839501	16	7	16	0
17	5UEnHoDYpsxlfzWLZIc7LD	River (feat. Ed Sheeran)	Eminem	809120	14	15	2	-3
18	4eWQlBRaTjPPUlzacqEeoQ	Never Be the Same	Camila Cabello	804928	15	11	7	-3
19	2U7Hu2RaNQNRi7izoJyZaX	rockstar	Post Malone	788715	17	6	12	-2
20	3Vo4wInECJQuz9BIBMOu8i	Finesse - Remix; feat. Cardi B	Bruno Mars	671919	19	12	4	-1
21	1LhMopPAallLeaeNutqbgS	Say Something	Justin Timberlake	645064	23	8	21	2
22	2UVbBKQOdFAekPTRsnkzcf	Stir Fry	Migos	639031	21	9	16	-1
23	6PKxFkewPt55P5ao5tVS5o	Go Bang	PNAU	636182	20	20	11	-3
