position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	2bPtwnrpFNEe8N7Q85kLHw	Combatchy (feat. MC Rebecca)	Anitta	5658600	1	3	1	0
2	5F8ffc8KWKNawllr5WsW0r	Surtada - Remix Brega Funk	Dadá Boladão	4229833	2	10	1	0
3	2PWjKmjyTZeDpmOUa3a5da	Cheirosa - Ao Vivo	Jorge & Mateus	3626118	5	8	3	2
4	2qD7VoDYcrAPY0cVEfpsR5	Some que ele vem atrás	Anitta	3601112	3	6	2	-1
5	3GmJxfnUDrIs1iCfKUELFz	Supera - Ao Vivo	Marília Mendonça	3598949	4	16	1	-1
6	3Uq45ipGutypFPmETfaoaH	Gaiola É o Troco	MC Du Black	3417101	6	19	1	0
7	14kRWkCWBYfQqILflEcpSJ	Chama Ela (feat. Pedro Sampaio)	Lexa	3139654	7	10	6	0
8	5dKesZwp6deuhEeW8F1UEi	Hit Contagiante	Felipe Original	3114108	nan	16	2	re-enter
9	6QwFUcPc5nhsqZuhXUYtV7	Tijolão - Ao Vivo	Jorge & Mateus	2735094	10	28	1	1
10	72xB2J9ZeBl0Rzxq2XmzdY	Lençol Dobrado	João Gustavo e Murilo	2729465	9	16	3	-1
11	1U3tv41tFRgOfbytpuYQrR	Ferida Curada	Zé Neto & Cristiano	2688985	11	20	6	0
12	4k20Ie47EcWtS4wMBn8w8S	Invocada (Participação especial de Léo Santana) - Ao vivo	Ludmilla	2630182	12	19	11	0
13	4RC2nzqaQygxoVQOVv3XlT	Contatinho - Ao Vivo	Leo Santana	2570544	16	13	6	3
14	159ntSAEWJ9zIMOSXmQ530	choque térmico - ao vivo	Luan Santana	2528225	29	15	14	15
15	2MOq63fxuFLYQM3CsDcFs1	menina solta	Giulia Be	2489339	19	9	15	4
16	1uryupl9hqVZYurJwH4G9k	3 Batidas - Ao Vivo	Guilherme & Benuto	2487037	26	15	16	10
17	5q0NlM6Pm8Pp3orq7zGiRn	Quarta Cadeira - Ao Vivo	Matheus & Kauan	2485635	15	37	10	-2
18	26WpOBpHiIMoBuMEIwtOCH	Quando a vontade bater (Participação especial de PK Delas)	Pk	2464238	17	38	8	-1
19	6V43u5SCjkfMpxMAXRPifr	Sentou e Gostou	MC JottaPê	2411021	18	20	3	-1
20	3MkdA6vwF0ifRl86yzTlJW	Kenny G	Matuê	2338665	20	13	7	0
21	7HLU2aJTAQfSIgJ2dMASsP	To Voando Alto	Mc Poze do Rodo	2329885	101	2	21	80
22	5gvrBqNFFEWcxYPt3mamvJ	quando a bad bater - ao vivo	Luan Santana	2319697	14	15	1	-8
23	2RMOwSvOGQyy985Vx4VSGQ	Verdinha	Ludmilla	2308241	nan	1	23	new
24	4lKuzrdZrJuCAedbIslF3A	SENTADÃO	Pedro Sampaio	2261636	111	2	24	87
25	5MArTXEVyKBwoodjdy04fk	Tiro Certo - Ao Vivo	Zé Felipe	2238523	24	12	24	-1
26	31yFXM26dazFnWI2eoOM5R	Ela Vem	MC G15	2183525	22	24	21	-4
27	5fY9bVl1Wj4PIM3wnduWop	Serenata - Ao Vivo	Marília Mendonça	2163774	21	29	16	-6
28	3J5Pu25BODMex4Jpy4l6FL	S de Saudade	Luíza & Maurílio	2163636	23	5	23	-5
29	52vPpP2gEYaBROIS77J38P	Complicado	Vitão	2100572	13	9	13	-16
30	7Gk5OrMYaMRtT2JmgJVAfk	Pupila	ANAVITÓRIA	2028797	25	22	16	-5
31	1rgnBhdG2JDFTbYkYRZAku	Dance Monkey	Tones And I	2006342	39	12	31	8
32	3RbXsVQr4jeTxvT35Hssq3	Bebi Liguei - Ao Vivo	Marília Mendonça	1902781	32	41	4	0
33	1owErGXMkNVCgCmCjI1vRL	Quem Traiu Levou - Ao Vivo	Gusttavo Lima	1852161	30	12	16	-3
34	4jGzR5Vri06Y5T9SxM7m5P	Algo Mais (Amante) - Ao Vivo	Xand Avião	1842078	27	29	14	-7
35	4E6RdcCWMiHTu7zy1VTNDo	Todo Mundo Vai Sofrer - Ao Vivo	Marília Mendonça	1834866	33	29	1	-2
36	1G60NjxeOS7veR1EXuKPaW	Fake News - Ao Vivo	Gustavo Mioto	1748556	31	30	20	-5
37	2kOmW169C7UV4SZDN9u0YO	Vidrado Em Você	Dj Guuga	1717111	34	22	29	-3
38	4gDvg62vG96w0qJaF6wzcd	A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília	Diego & Victor Hugo	1708531	35	37	17	-3
39	2KyXyTrp3kp1Fsg7B1osYD	Para, Pensa e Volta - Ao Vivo	Yasmin Santos	1678040	38	23	21	-1
40	7yYsyXQa2JgbyL9fkEiUNt	Amor de Que	Pabllo Vittar	1672538	nan	1	40	new
41	3NnW2EqJxvHYrRy3upaznl	Resenha lá em casa	MC Kevin o Chris	1670487	37	22	32	-4
42	7qLnSuxwLNlcapat8OCWZp	Ela É do Tipo (feat. Drake) - Remix	MC Kevin o Chris	1652996	36	4	25	-6
43	6v3KW9xbzN5yKLt9YKDYA2	Señorita	Shawn Mendes	1636944	47	19	12	4
44	6sRLrSetyIwIKhW1eMlUNP	Vou Ter Que Superar - Ao Vivo	Matheus & Kauan	1625101	41	37	2	-3
45	4lEw9Id7kLDSJ6KRdaenM9	Espaçosa Demais - Ao Vivo	Felipe Araújo	1585296	28	61	13	-17
46	6ZWkf3FDQQmyeel23ECpIP	Carreira Solo - Ao Vivo	Gusttavo Lima	1585053	42	5	42	-4
47	0J6cINt02c8UQqDG7vLShY	Gelo	Melim	1582355	40	15	38	-7
48	59WWulo1LM0njpIkcduCMn	Tão Linda	Atitude 67	1564105	43	18	39	-5
49	6lK3nCiigk34SGqEjpQoqO	Aí Eu Bebo - Ao Vivo	Maiara & Maraisa	1514159	46	7	45	-3
50	6i9ToXS6CAfjpp8veBklg1	Café	Vitão	1476720	44	38	38	-6
51	6WrI0LAC5M1Rw2MnX2ZvEg	Don't Start Now	Dua Lipa	1463176	50	5	32	-1
52	2qiqXQ2Suc253bR7k9AKVD	Baile da Colômbia (Brega Funk) - Remix	MC Ysa	1462960	45	18	24	-7
53	5rNNZ6fVYxkhwqUfImVhU1	Brisa	IZA	1352414	49	33	39	-4
54	5n8Y78Pl5q8lqS7sJP61qw	Relógio Parado (Ao Vivo)	Diego & Arnaldo	1329546	53	7	52	-1
55	2PqPSf3gtTED79rWGwVtYg	Áudio - Ao Vivo em Brasília	Diego & Victor Hugo	1295956	51	21	43	-4
56	2Q9TaUXNM4mNSCgJjbmsJe	Bebi Minha Bicicleta (Coração Falido) - Ao Vivo	Zé Neto & Cristiano	1288058	nan	1	56	new
57	5pddmkNwatcLOEqDqj7xEp	Perrengue - Ao Vivo	Gusttavo Lima	1271192	56	9	29	-1
58	7oEr56KG6odStlQH0nvdyr	Solteiro Não Trai - Ao Vivo	Gustavo Mioto	1267128	54	52	8	-4
