position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	260R90ctQ1SiPax90PuEsT	Hobby Hobby	MERO	7774110	nan	1	1	new
2	63THFs9ovzO3WQsz4lzh0H	DODI	Shindy	3942856	1	2	1	-1
3	7KPGeiXWDsGEvFK62wzU8E	Benzema	Capital Bra	3592118	2	5	1	-1
4	23N0z3XkwS2ErcNKsgCWAb	Wenn die Sonne untergeht	Azet	3366951	nan	1	4	new
5	3OgD9c7c6GhEWUK660Ezbr	Warnung	Kontra K	3063451	nan	1	5	new
6	14msK75pk3pA33pzPVNtBF	7 rings	Ariana Grande	2921478	nan	1	6	new
7	5z3vuYzS9UF6rD6TmBEdUf	JAJA	Fero47	2921165	5	2	5	-2
8	25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	2793523	4	16	2	-4
9	1IPRghUN3LFPNbCTsfBJx9	Baller los	MERO	2582320	7	9	1	-2
10	4mI0sGmXHviRF9QbY4bfq7	#niemalsantäuschen	Farid Bang	2337977	nan	1	10	new
11	0kLA41xkWzzYzMIEGFuDkP	HaifischNikez Allstars	LX	2292040	6	4	2	-5
12	2PAYSgrVOBz8RJqp9B7QLu	Tausend Tattoos	Sido	1936998	8	7	4	-4
13	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	1936201	10	31	7	-3
14	5p7ujcrUXASCNwRaWNHR1C	Without Me	Halsey	1868884	13	16	13	-1
15	31Zs71Yb7YoPlFx2p1uKRX	Lelele	Azet	1790073	11	5	4	-4
16	4Nip6oiJU24LqcUEi7u19S	Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)	KitschKrieg	1765548	12	14	1	-4
17	6MWtB6iiXyIwun0YzU6DFP	Wow.	Post Malone	1650375	16	5	12	-1
18	6ujq8IjOGkbJrp09qarW1E	Shem Shem & Sex	Nimo	1630472	9	2	9	-9
19	4UOXo3xWnxYdTf3sFyRaUG	500 PS	Bonez MC	1542901	15	16	1	-4
20	1rCcsYnmqbMYdkG7kS9GC5	Speechless (feat. Erika Sirola)	Robin Schulz	1528587	17	10	15	-3
21	3EPXxR3ImUwfayaurPi3cm	Be Alright	Dean Lewis	1417160	18	26	13	-3
22	0dGSOCj6hdV5Nr0V8FjONc	Zoey	Nimo	1373606	14	6	5	-8
23	3MrTi2XjvQCZm8V1P1ryuR	Cataleya	Samra	1325238	25	11	1	2
24	3TMW1GOB1lsmvf8er2dE8g	Lambo Diablo GT (feat. Nimo & Juju) - Remix	Capo	1263120	19	3	19	-5
25	2RP8Svo0pMwZXnVcmOffDw	Fading	Alle Farben	1254160	27	10	25	2
26	0E9ZjEAyAwOXZ7wJC0PD33	In My Mind	Dynoro	1253730	21	32	1	-5
27	71XGMPKmWtVxO7bGcGZhbn	Ich liebe es (feat. XATAR & SAMY)	Capital Bra	1234013	26	12	2	-1
28	4w8niZpiMy6qz1mntFA5uM	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake	1204044	22	17	7	-6
29	3yuMTMJQ2gkvLhMVZLrcRV	Feuer	Capital Bra	1161690	24	8	2	-5
30	3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	1149985	33	6	26	3
31	1LcvTvRfWrQjrF6aymfugd	Meer	Luciano	1139640	23	9	6	-8
32	4CJKZGVo4QZH9r6fNXPWDV	Deine Mutter (feat. Nessi)	Kool Savas	1137428	nan	1	32	new
33	6hFmSZIw5gmn9mK4hfqozy	Farben	Kontra K	1133881	28	6	6	-5
34	2LskIZrCeLxRvCiGP8gxlh	Arms Around You (feat. Maluma & Swae Lee)	XXXTENTACION	1125072	29	13	13	-5
35	7Kl0tRgiMu5USwbZM5274a	Crack, Koks, Piece Unternehmen	Nash	1099801	20	3	8	-15
36	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	1096906	32	23	7	-4
37	5Fla3zyOCcIRqrDoKLU0DP	Let You Love Me	Rita Ora	1092452	31	9	17	-6
38	2eNSyVH3sNPiAj9WpRYK73	Dior 2001	RIN	1077838	34	23	3	-4
39	2rPE9A1vEgShuZxxzR2tZH	thank u, next	Ariana Grande	1074507	35	12	10	-4
40	38KR9aB0bPkjM4gKhKr7tr	Perfekt (feat. Sofiane)	RAF Camora	999788	38	10	4	-2
41	4nBcGqwztDJ29cyHVJtXsB	MILLIONDOLLAR$MILE	Loredana	991749	30	7	7	-11
42	30K9xVNSog0DVr5ey5yVoY	Like I Love You (feat. The NGHBRS)	Lost Frequencies	974835	41	10	37	-1
43	40U9Hj3oyCRHRY1tq2zkbS	Yapma	C ARMA	967952	58	4	43	15
44	27rdGxbavYJeBphck5MZAF	Nothing Breaks Like a Heart (feat. Miley Cyrus)	Mark Ronson	963332	47	8	34	3
45	0YammaEkYSeo9vQYZ1OwS6	Say My Name	David Guetta	952835	40	15	40	-5
46	0oZyouBDStcJEUbTmSfys2	Facetime	Dardan	944709	36	23	5	-10
47	4Bj3usjRTckEJARO0dLbDf	Kokain	Bonez MC	921000	44	16	2	-3
48	5d35jcJj7WjDQBOHCHPY6t	Melodien (feat. Juju)	Capital Bra	918456	45	25	1	-3
49	3Rq0ElVcisouAl71RtnTUS	UFF	Veysel	913106	42	8	31	-7
50	5JEx7HbmvHQQswJCsoo9rA	Close To Me (with Diplo) (feat. Swae Lee)	Ellie Goulding	881961	48	12	41	-2
51	7wFybC8jBH3zE139OpCtpG	Lost in the Fire	Gesaffelstein	866596	52	2	51	1
52	1ozcq14sW7YmG8ZQVFnqd7	100 K (feat. Kurdo)	GENT	853702	nan	1	52	new
53	7FGq80cy8juXBCD2nrqdWU	Eastside (with Halsey & Khalid)	benny blanco	846003	46	7	43	-7
54	0FZ4Dmg8jJJAPJnvBIzD9z	ZEZE (feat. Travis Scott & Offset)	Kodak Black	830290	43	6	33	-11
55	6Qs4SXO9dwPj5GKvVOv8Ki	Dancing With A Stranger (with Normani)	Sam Smith	819761	68	2	55	13
56	5itOtNx0WxtJmi1TQ3RuRd	Giant (with Rag'n'Bone Man)	Calvin Harris	813221	96	2	56	40
57	0jB0RNZIfaihaDKNmdrI40	Casanova	Summer Cem	786338	49	26	3	-8
58	7K7MUBCnzgBAvMVW2RTWNs	Body (feat. brando)	Loud Luxury	784819	51	25	7	-7
59	3id2EVGKc3eFAMn9nFnB0r	Love Someone	Lukas Graham	747579	55	13	51	-4
60	3uCZ4IqMY54A0jxRkyPGPl	thank you	Lena	747393	80	6	60	20
61	10kMLLcMUyL7jACnt5m8RB	Patron	JAZN	742817	nan	1	61	new
62	116H0KvKr2Zl4RPuVBruDO	MIA (feat. Drake)	Bad Bunny	741091	54	15	23	-8
63	4tW7mc0pab35DznfVlr3px	Allein	Capital Bra	740137	57	12	3	-6
64	0gn93i7HJt0calph67R5Wu	WTF (feat. Amber Van Day)	HUGEL	737755	115	2	64	51
65	3Ol2xnObFdKV9pmRD2t9x8	Look Back at It	A Boogie Wit da Hoodie	720835	92	3	65	27
66	5N5k9nd479b1xpDZ4usjrg	Promises (with Sam Smith)	Calvin Harris	715546	53	23	8	-13
67	2vzQotgEoJMvqOQp9XxqFR	Hayate	Luciano	699076	37	9	32	-30
68	7ecGSqT8Ulbzhs5QwgWGVN	Neymar	Capital Bra	692690	63	31	5	-5
69	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	683218	56	16	29	-13
70	5kfNriitmkNE8mUbZ7gbq8	Saturday Nights	Khalid	680192	60	4	60	-10
71	5UtiebKGhsSce9gX1qCqic	BONNIE & CLYDE	Loredana	677296	59	19	2	-12
72	3FHppoOv1gMexzC9XyMCFz	Mercedes	Eno	675525	70	13	35	-2
73	5tAa8Uaqr4VvA3693mbIhU	Ruin My Life	Zara Larsson	668929	65	14	54	-8
74	7dt6x5M1jzdTEt8oCbisTK	Better Now	Post Malone	667844	62	39	6	-12
75	14sOS5L36385FJ3OL8hew4	Happy Now	Kygo	666259	69	13	62	-6
76	2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	Travis Scott	661530	64	25	42	-12
77	4Gq7MQyUxW3C7iGWooMffP	Abfahrt	FiNCH ASOZiAL	660806	72	4	72	-5
78	14JzyD6FlBD5z0wV5P07YI	when the party's over	Billie Eilish	642977	71	14	37	-7
79	2RSHsoi04658QL5xgQVov3	Bad Liar	Imagine Dragons	637320	61	11	38	-18
80	7wmZnYFNeYyBmK4ncNvhgP	Rückkehr	Kianush	635839	nan	1	80	new
81	0RMrNZG8THmtHXU90tfsQY	Valentino Camouflage	Luciano	628345	66	9	5	-15
82	13hvHEstJ4sNbzdroPrPI3	Kiss and Make Up	Dua Lipa	617273	67	14	40	-15
83	2IRZnDFmlqMuOrYOLnZZyc	Going Bad (feat. Drake)	Meek Mill	616239	77	8	66	-6
84	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	608502	78	45	7	-6
85	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	597367	86	38	23	1
86	5P8EPCYTLW2bR4PanlvEpI	Roli Glitzer Glitzer (feat. Luciano & Eno)	Capital Bra	596534	74	12	5	-12
87	3mulaE9xF8LhmwZN61kHvS	PARA ILLEGAL (feat. Lil Lano)	King Khalil	589416	50	7	31	-37
