position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	06O3hxudc6V0BOuoCFSy71	Tout oublier	Angèle	1325308	1	13	1	0
2	4miiqu2dxOhBguQDHtqssH	Madrina	Maes	1253877	2	5	1	0
3	4w8niZpiMy6qz1mntFA5uM	Taki Taki (with Selena Gomez, Ozuna & Cardi B)	DJ Snake	1221555	4	14	3	1
4	7oxSh7uiB74lWGVIv2Qtlm	Sale mood	Bramsito	1112665	10	9	4	6
5	6l7PqWKsgm4NLomOE7Veou	1000°C	Lomepal	1084236	7	4	2	2
6	1Bhm5HNO1cq8olDbBmokyL	Copines	Aya Nakamura	1034165	8	9	1	2
7	0QnEGWGECQUPuE3m8L6hdT	Jaloux	Dadju	971441	5	13	1	-2
8	1m0UFnuTktOkksvjbF9z0m	Ramenez la coupe à la maison	Vegedream	929765	15	24	1	7
9	3aRgAfrt6aQW8IimLq2aVG	La dot	Aya Nakamura	894626	12	9	2	3
10	7lhuM9WUqdThw72dCBRmQW	Rêves bizarres (feat. Damso)	Orelsan	867238	9	7	1	-1
11	5N5k9nd479b1xpDZ4usjrg	Promises (with Sam Smith)	Calvin Harris	829136	28	20	11	17
12	116H0KvKr2Zl4RPuVBruDO	MIA (feat. Drake)	Bad Bunny	827190	21	12	12	9
13	4WB9OeauHXnGOMUK4s80gM	Trop beau	Lomepal	818739	11	4	1	-2
14	0YammaEkYSeo9vQYZ1OwS6	Say My Name	David Guetta	817978	14	12	14	0
15	7sKDftgGirHWTVFMtJoDoh	Djadja	Aya Nakamura	788411	30	9	12	15
16	4zrEmFA3R3JngfWR70zu3w	Binks to Binks 6	Ninho	754665	nan	1	16	new
17	2VxeLyX666F8uXCJ0dZF8B	Shallow	Lady Gaga	746625	13	13	11	-4
18	2rPE9A1vEgShuZxxzR2tZH	thank u, next	Ariana Grande	745112	17	9	11	-1
19	3uTNli5uz5rNOqD6qZFi8L	Billets verts	Maes	712759	18	5	7	-1
20	6qk9lEM6UIxNbAuI0PpOLu	Air Max	Rim'K	689900	16	15	2	-4
21	0uL88Lp7C6i2WGHub1zrJ9	Later Bitches	The Prince Karma	686573	47	10	21	26
22	2pz2M2tXX8ROcV1Pesr725	Jon Snow	Lacrim	683700	3	2	3	-19
23	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	675413	55	7	23	32
24	25sgk305KZfyuqVBQIahim	Sweet but Psycho	Ava Max	663594	22	11	22	-2
25	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	660323	24	42	7	-1
26	0E9ZjEAyAwOXZ7wJC0PD33	In My Mind	Dynoro	624814	29	24	6	3
27	3qHs2PoiJMPvdxgyRSvqAl	Sucette (feat. Niska)	Aya Nakamura	621834	26	9	4	-1
28	2NUIWpL6IsYGkwfSN7basS	Ma 6t a craqué (feat. Ninho)	Kpoint	617618	31	23	3	3
29	0XXooKwo0L6gxn0OxZFDXw	Ma che beauté	Jul	611398	19	4	14	-10
30	4h3SqMd5F16XJVdGp5fsZG	À nos souvenirs	Trois Cafés Gourmands	611276	33	13	27	3
31	2LskIZrCeLxRvCiGP8gxlh	Arms Around You (feat. Maluma & Swae Lee)	XXXTENTACION	581940	20	10	20	-11
32	2FY7b99s15jUprqC0M5NCT	Natural	Imagine Dragons	563777	34	8	23	2
33	4yjqpsuyrbjyXHB6rC0mWo	Je te le donne (en duo avec Slimane)	Vitaa	548792	36	14	33	3
34	0O4XHiuVt3dBaOzSI49BtF	Bella	MHD	545238	32	16	5	-2
35	44ahv3Zj4FOJoy8gJLZF9B	Alright	Jain	542620	91	19	11	56
36	2dpaYNEQHiRxtZbfNsse99	Happier	Marshmello	540052	83	19	24	47
37	3iXhLi33EpUfcOwasC8un1	Ta reine	Angèle	538571	39	13	22	2
38	3ABwQntK8i49EGOd3SSj7Q	Mauvais	GLK	536237	37	5	12	-1
39	0YCMh9HQkRpAtkj0i1sZqH	BB	Booba	535536	43	14	1	4
40	5as5HurTt4u7BuFIT5j8am	Bae	RK	532494	38	15	7	-2
41	6KXZwMCjsRzhkJ3ccnYUJ8	Plus tard	Bigflo & Oli	530562	54	6	41	13
42	6A3bL3MlU0l54kKlgpw0UT	X-men	Lomepal	530420	23	4	3	-19
43	2c7GlMNmF7pbohjykutmLP	Thunderclouds	Sia	529929	46	9	37	3
44	63eflEIBAF5VmO5AdVuZF7	Tiago	Kendji Girac	529321	57	8	44	13
45	50SEeQXOJgaXPv2S0v7ded	Paradise (feat. Benjamin Ingrosso)	Ofenbach	513836	99	11	45	54
46	7ef4DlsgrMEH11cDZd32M6	One Kiss (with Dua Lipa)	Calvin Harris	512387	133	39	3	87
47	3iBOe7U7kRPNIoL3QLCVu2	La thune	Angèle	511942	56	13	22	9
48	3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	Post Malone	501408	70	3	48	22
49	1H0OfL0clmcI1odODWD2DS	La vérité	Lomepal	499872	27	4	4	-22
50	6FqNHDHEsUTKqVWXBkMd9y	Train de vie	Koba LaD	489628	40	14	3	-10
51	4L0Iwsk1s8cbdBcEgdm8K5	Feu de bois	Damso	488492	50	29	2	-1
52	3r1Veo87Ex14aHT2KcJNnh	Débrouillard	Kaaris	475354	53	3	40	1
53	7vSQVx20cqaYOVAVJwj00p	Dalida	Soolking	468796	52	9	9	-1
