position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	2XW4DbS6NddZxRPm5rMCeY	God's Plan	Drake	51378259	1	7	1	0
2	65NwOZqoXny4JxqAPlfxRF	Psycho (feat. Ty Dolla $ign)	Post Malone	37497635	2	2	2	0
3	3GCdLUSnKSMJhs4Tj6CV3s	All The Stars (with SZA)	Kendrick Lamar	28203588	3	2	3	0
4	08bNPGLD8AhKpnnERrAc6G	FRIENDS	Marshmello	23594039	7	4	4	3
5	76cy1WJvNGJTj78UqeA5zr	IDGAF	Dua Lipa	23506139	4	10	4	-1
6	6tHWl8ows5JOZq9Yfaqn3M	Mine	Bazzi	22677869	5	7	3	-1
7	4qKcDkK6siZ7Jp1Jb4m0aL	Look Alive (feat. Drake)	BlocBoy JB	21104248	8	4	7	1
8	2ARqIya5NAuvFVHSN3bL0m	The Middle	Zedd	20963966	11	2	8	3
9	4ofvoCdXq99vpMZO4Cfp8x	Pray For Me (with Kendrick Lamar)	The Weeknd	20201000	6	5	3	-3
10	2U7Hu2RaNQNRi7izoJyZaX	rockstar	Post Malone	19708050	9	3	6	-1
11	5CLGzJsGqhCEECcpnFQA8x	These Days (feat. Jess Glynne, Macklemore & Dan Caplen)	Rudimental	19168120	12	7	11	1
12	35ieKju5aLWFN5UgfJ27mL	SAD!	XXXTENTACION	18220827	nan	1	12	new
13	45Egmo7icyopuzJN0oMEdk	Love Lies (with Normani)	Khalid	18005810	15	3	13	2
14	2j2fIJGh4PMdXt9ULI5Tlc	Dura	Daddy Yankee	17817700	14	7	9	0
15	1rfofaqEpACxVEHIZBJe6W	Havana (feat. Young Thug)	Camila Cabello	17679305	13	8	1	-2
16	3ITvHA9zhZZdBJsOsAUegF	Amorfoda	Bad Bunny	17209365	10	3	10	-6
17	5UEnHoDYpsxlfzWLZIc7LD	River (feat. Ed Sheeran)	Eminem	14776173	16	12	2	-1
18	7iDa6hUg2VgEL1o1HjmfBn	Meant to Be (feat. Florida Georgia Line)	Bebe Rexha	14455651	22	25	18	4
19	2UVbBKQOdFAekPTRsnkzcf	Stir Fry	Migos	14385682	18	6	16	-1
20	1zsG4eaZmkA1dvjDDsAGLK	Échame La Culpa	Luis Fonsi	14313006	19	16	7	-1
21	4eWQlBRaTjPPUlzacqEeoQ	Never Be the Same	Camila Cabello	14183815	20	8	4	-1
22	3Vo4wInECJQuz9BIBMOu8i	Finesse - Remix; feat. Cardi B	Bruno Mars	14036953	17	9	4	-5
23	75ZvA4QfFiZvzhj2xkaWAh	I Fall Apart	Post Malone	13324059	21	24	10	-2
24	2ekn2ttSfGqwhhate0LSR0	New Rules	Dua Lipa	13283155	24	35	2	0
25	2IKZkwHI5zsZf70STuhvOX	Sick Boy	The Chainsmokers	12657580	23	3	15	-2
26	7EmGUiUaOSGDnUUQUDrOXC	Wolves	Selena Gomez	12650514	25	20	3	-1
27	0tgVpDi06FyKpA1z0VMD4v	Perfect	Ed Sheeran	12581210	26	51	4	-1
28	5hM6sP0Gh1jD57drszNueC	For You (Fifty Shades Freed) (& Rita Ora)	Liam Payne	12503997	27	9	27	-1
29	51rXHuKN8Loc4sUlKPODgH	King's Dead (with Kendrick Lamar, Future & James Blake)	Jay Rock	12264866	29	8	29	0
30	5k38wzpLb15YgncyWdTZE4	Him & I (with Halsey)	G-Eazy	12124294	28	12	7	-2
31	39N9RPD9MRb5WmoLzNzPeA	X	Nicky Jam	12073809	nan	1	31	new
32	6mrKP2jyIQmM0rw6fQryjr	Let You Down	NF	11683420	31	21	9	-1
33	5AEtlRudpgdT5FtNiuly6Y	Let Me Go (with Alesso, Florida Georgia Line & watt)	Hailee Steinfeld	11472582	32	25	16	-1
34	6zOhgKfbMiQWToE6K13s2s	Everyday	Logic	11350020	nan	1	34	new
35	3towKHKVOXCCcL1fHv6xFO	Capital Letters	Hailee Steinfeld	11308602	34	7	34	-1
36	4R55IUi2x7S5ek2SpebOiE	Bella	Wolfine	11248984	30	10	29	-6
37	7qiZfU4dY1lWllzX7mPBI3	Shape of You	Ed Sheeran	11209976	33	59	1	-4
38	4QfNOZN7vrQCQKK1ZJ3XPb	Heaven	Julia Michaels	11159967	42	4	38	4
39	33bnxcjePIkcmNjEFTJX0l	Déjala Que Vuelva (feat. Manuel Turizo)	Piso 21	10936212	36	18	33	-3
40	7sO5G9EABYOXQKNPNiE9NR	Ric Flair Drip (& Metro Boomin)	Offset	10778895	54	19	32	14
41	1LhMopPAallLeaeNutqbgS	Say Something	Justin Timberlake	10754295	35	5	25	-6
42	4lESS6vuruP6a79KWRaQou	Corazón	Maluma	10557798	39	18	17	-3
43	3Ga6eKrUFf12ouh9Yw3v2D	Downtown	Anitta	10193821	38	16	21	-5
44	6Za3190Sbw39BBC77WSS1C	Criminal	Natti Natasha	9732621	41	17	21	-3
45	6jA8JUuPCGYjFcgw0AoM5T	Me Niego (feat. Ozuna & Wisin)	Reik	9653391	64	3	45	19
46	6QgjcU0zLnzq5OrUoSZ3OK	Feel It Still	Portugal. The Man	9592903	43	34	18	-3
47	2xmrfQpmS2iJExTlklLoAL	I Miss You (feat. Julia Michaels)	Clean Bandit	9485102	37	19	23	-10
48	2xGjteMU3E1tkEPVFBO08U	This Is Me	Keala Settle	9356402	50	10	30	2
49	7vGuf3Y35N4wmASOKLUVVU	Silence	Marshmello	9329269	44	30	8	-5
50	26gceVsA1ybT8qsX3aYLEn	Thunder	Imagine Dragons	9197764	46	2	46	-4
51	5hcisvFMidkMJlElTO9Qmw	Sensualidad	Bad Bunny	8671872	49	18	21	-2
