position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
1	2XW4DbS6NddZxRPm5rMCeY	God's Plan	Drake	37501829	2	12	1	1
2	1cTZMwcBJT0Ka3UJPXOeeN	Nice For What	Drake	33683833	nan	1	2	new
3	1gm616Plq4ScqNi7TVkZ5N	Call Out My Name	The Weeknd	27891718	1	2	1	-2
4	65NwOZqoXny4JxqAPlfxRF	Psycho (feat. Ty Dolla $ign)	Post Malone	27252126	3	7	2	-1
5	08bNPGLD8AhKpnnERrAc6G	FRIENDS	Marshmello	24749374	5	9	4	0
6	39N9RPD9MRb5WmoLzNzPeA	X	Nicky Jam	24594924	4	6	4	-2
7	10Igtw8bSDyyFs7KIsKngZ	Freaky Friday (feat. Chris Brown)	Lil Dicky	21673663	11	4	7	4
8	3ee8Jmje8o58CHK66QrVC2	SAD!	XXXTENTACION	21309688	7	4	3	-1
9	76cy1WJvNGJTj78UqeA5zr	IDGAF	Dua Lipa	20529481	9	15	4	0
10	2ARqIya5NAuvFVHSN3bL0m	The Middle	Zedd	20218662	10	7	6	0
11	4qKcDkK6siZ7Jp1Jb4m0aL	Look Alive (feat. Drake)	BlocBoy JB	19745203	13	9	6	2
12	45Egmo7icyopuzJN0oMEdk	Love Lies (with Normani)	Khalid	19351196	12	8	11	0
13	7ef4DlsgrMEH11cDZd32M6	One Kiss (with Dua Lipa)	Calvin Harris	19302911	nan	1	13	new
14	5CLGzJsGqhCEECcpnFQA8x	These Days (feat. Jess Glynne, Macklemore & Dan Caplen)	Rudimental	17806295	18	12	9	4
15	2lYjH3ZbCrW7CHmSRvVCN3	Mine	Bazzi	17345222	nan	1	15	new
16	3GCdLUSnKSMJhs4Tj6CV3s	All The Stars (with SZA)	Kendrick Lamar	16837776	14	7	3	-2
17	79jX8RM5CgPqDKdGEKNW9K	In My Blood	Shawn Mendes	15223841	19	3	7	2
18	2U7Hu2RaNQNRi7izoJyZaX	rockstar	Post Malone	15069740	20	8	6	2
19	6mAz8D1TmlTuef90dbNIiZ	Plug Walk	Rich The Kid	14913401	25	2	19	6
20	2j2fIJGh4PMdXt9ULI5Tlc	Dura	Daddy Yankee	14390179	22	12	9	2
21	1rfofaqEpACxVEHIZBJe6W	Havana (feat. Young Thug)	Camila Cabello	13728815	23	13	1	2
22	7iDa6hUg2VgEL1o1HjmfBn	Meant to Be (feat. Florida Georgia Line)	Bebe Rexha	13660336	24	30	18	2
23	6jA8JUuPCGYjFcgw0AoM5T	Me Niego (feat. Ozuna & Wisin)	Reik	12958885	27	8	22	4
